Shar	Pdis	Mmyo	Pkuh	Mmol	Raeg	Rfer	Btau	Oorc	Sscr	Cfer	Csim	Ecab	Mjav	Fcat	Hhya	Cfam	Mput	Zcal	Ccri	Eeur	Sara	Moch	Mmus	Rnor	Hgla	Svul	Ocun	Opri	Tbel	Mmur	Ogar	Sbol	Ptro	Hsap	Mfas	Dnov	Tman	Lafr	Eedw	Etel	Mdom	Vurs	Glea	Oana
16572	110	211	772	95	221	62	159	1136	101	865	92	920	294	2591	62	73	103	157	735	1472	43	87	61	91	82	98	70	50	213	77	494	142	150	5846	84	247	254	134	49	206	474	58	64	168
3784	153	81	58	262	85	99	257	142	219	79	121	75	71	4438	133	60	110	205	44	71	314	151	135	172	83	60	697	825	1024	245	771	103	4344	81	200	754	95	559	571	88	319	238	75	80
1755	211	63	435	255	203	227	611	182	1608	314	153	1816	50	118	243	66	168	78	88	148	174	3042	4654	350	53	101	266	1961	54	343	257	47	135	133	136	5622	497	863	304	258	78	775	43	67
4355	340	1128	197	101	138	35	358	1943	224	575	164	93	103	64	819	336	180	763	450	104	235	102	724	115	207	93	147	88	1154	68	86	110	1607	211	3564	110	490	2354	256	523	73	3338	122	43
802	101	177	430	266	78	71	56	244	679	857	144	73	40	61	54	883	179	289	129	156	125	42	72	404	112	106	176	176	1151	147	69	265	1591	163	52	60	9671	666	748	239	102	318	9989	114
734	125	132	105	103	78	62	56	71	564	227	59	68	278	105	160	91	140	796	68	70	224	37	444	367	351	60	195	513	111	1708	557	206	4344	211	252	125	1397	348	126	309	48	169	2106	218
335	430	120	133	180	243	151	60	3434	115	308	752	65	102	1630	809	56	865	317	76	105	517	69	1120	367	58	96	281	1199	556	212	52	191	4344	352	5576	603	262	62	183	591	82	412	3535	66
70	135	2218	33	340	42	123	500	806	140	151	145	96	407	464	72	131	93	36	193	176	828	624	85	128	122	96	242	228	233	444	5140	55	1591	224	1024	1129	468	1532	1227	2237	1564	182	180	71
120	330	68	143	535	92	225	207	502	194	447	73	1150	124	194	62	200	914	571	268	174	208	114	84	600	476	93	232	58	108	293	2253	224	4342	418	3807	3433	137	188	276	712	372	357	67	48
145	218	44	197	128	116	51	76	3679	217	134	271	648	3880	544	368	287	1072	111	259	42	89	102	639	146	205	98	395	99	812	98	564	1635	135	385	474	219	492	97	248	1516	413	693	147	246
167	53	362	49	196	175	498	528	72	274	904	125	55	3012	138	44	219	56	33	371	31	223	892	360	174	298	101	4690	455	51	426	88	1477	1605	386	65	1400	249	60	123	151	58	532	507	70
2059	150	163	86	72	1837	68	1317	2222	507	123	61	64	973	135	74	368	187	124	95	105	272	74	495	259	496	92	85	105	117	86	385	626	1590	168	357	1783	448	122	59	767	293	1337	87	66
776	342	107	188	628	452	227	1736	168	112	126	65	1564	2598	578	584	313	1324	248	345	216	113	67	310	56	702	93	143	1073	131	61	365	39	4342	371	143	870	288	1177	60	305	148	102	76	66
287	133	122	40	213	44	4217	115	801	966	154	71	4025	113	92	46	161	1276	121	58	1094	1492	77	197	101	164	57	389	122	67	53	161	150	1591	114	275	776	73	1243	122	186	707	568	293	204
2427	93	163	93	100	1418	2707	195	409	137	229	336	105	177	61	35	1213	1190	246	82	56	199	379	87	536	40	98	114	482	160	222	91	48	4347	203	186	671	158	938	48	112	102	79	68	51
702	183	238	148	368	56	1277	226	783	135	187	62	125	157	776	42	1053	66	458	71	144	223	128	163	448	144	1814	235	142	65	59	61	204	4342	93	79	182	215	1592	1491	186	124	7645	954	81
392	217	138	107	130	73	88	771	3062	217	291	42	324	287	141	323	808	1410	367	78	40	230	2309	3260	144	1521	1819	322	134	59	62	695	46	1591	596	3528	77	169	425	181	77	699	58	89	48
202	122	360	72	106	2473	149	114	545	135	366	84	87	681	1360	1586	417	897	118	140	133	104	2995	73	631	170	1815	202	44	92	100	215	508	1591	62	100	48	54	238	159	1053	69	16554	109	239
245	208	149	343	119	136	177	114	2238	259	173	43	6794	289	853	694	228	136	59	161	103	85	123	129	45	149	98	1419	63	104	145	172	1640	4342	178	2571	68	709	112	72	2310	173	442	1982	103
77	568	248	520	140	941	361	1038	1532	125	329	55	714	341	177	64	59	92	449	386	42	96	1381	94	159	245	98	1703	55	46	143	287	419	4342	856	77	1630	71	121	141	279	736	156	64	88
589	242	140	159	70	58	947	1274	1709	482	192	409	55	91	226	65	276	96	65	132	46	73	74	370	873	189	103	1971	133	255	308	227	262	1591	338	100	1621	121	162	734	267	484	62	135	39
443	725	80	30	71	207	202	245	66	83	325	59	118	58	752	106	432	213	31	1500	237	110	874	602	130	115	101	667	209	112	187	1208	193	1591	699	86	1571	168	133	59	241	1465	135	67	115
233	327	101	987	207	1388	322	779	683	145	170	32	822	455	39	49	55	507	1193	177	71	100	425	288	259	150	101	877	133	181	1536	1710	1088	4347	113	137	1500	212	5639	162	172	180	40	167	186
199	127	167	125	133	133	90	2406	429	260	1433	64	287	209	6066	75	73	255	1567	54	51	161	2698	82	195	69	98	162	104	1396	235	1465	2031	4342	50	2286	1159	74	630	966	97	34	53	130	150
468	60	75	138	1257	93	277	250	3169	219	126	97	1128	120	628	75	49	1073	1600	67	110	156	328	42	162	552	98	79	146	338	940	285	1981	1591	3527	83	1166	59	36	1208	208	198	61	1319	131
224	69	73	104	246	66	88	1038	3462	153	104	119	308	78	78	52	248	79	191	62	161	167	80	69	1001	130	98	177	839	132	72	204	521	4346	124	627	770	1692	51	80	144	2563	59	67	45
44	313	150	207	154	98	85	355	2314	215	315	67	1019	515	117	51	56	995	1577	60	3726	1212	191	116	66	133	98	116	938	292	68	79	136	135	112	3739	1497	566	1861	920	164	300	63	384	256
120	36	245	33	71	3716	43	79	235	984	237	63	308	132	682	98	215	63	120	296	256	192	106	200	40	201	101	86	1587	455	59	63	1651	1608	96	552	1513	2175	166	95	1093	147	56	116	452
149	118	61	36	65	2278	53	434	292	86	7073	60	448	3052	414	109	100	191	1839	62	59	74	157	264	46	59	101	116	104	42	44	178	2566	1591	396	722	115	775	8481	101	1462	1029	102	148	179
178	79	291	84	99	517	172	147	224	157	221	58	308	69	44	60	67	477	742	1788	77	200	129	54	455	251	96	38	190	255	376	356	624	4346	300	4063	557	332	74	181	284	148	59	463	130
142	145	302	48	70	289	88	43	268	205	209	917	1036	183	616	109	209	261	61	871	77	110	77	235	516	99	57	80	216	96	85	502	432	4342	170	475	63	3086	3769	70	215	2195	114	71	170
364	223	172	333	49	58	144	175	1157	766	1041	817	83	76	154	524	82	234	62	74	57	96	164	1346	115	200	77	161	176	1182	483	54	169	1591	141	186	291	7382	494	93	181	277	107	3496	54
66	288	75	72	66	691	221	45	326	121	159	3301	65	167	107	326	61	111	193	66	79	195	265	92	88	39	70	89	1532	88	234	50	83	1591	77	155	1482	3410	246	67	150	873	56	2259	65
183	372	54	110	51	52	66	393	348	145	720	744	2666	79	58	39	71	201	59	51	79	53	52	66	149	62	112	54	697	1925	367	128	73	4341	39	111	1223	2651	6669	196	41	2298	211	2862	822
159	65	176	130	285	650	104	376	1115	160	570	2259	399	124	104	977	741	358	58	106	124	38	164	2875	711	39	120	270	92	149	68	157	161	4344	102	114	187	1307	741	500	626	86	333	230	278
172	96	173	1257	432	1094	1089	128	1713	198	100	99	69	38	470	37	631	166	1443	65	58	88	1706	97	96	60	129	71	424	47	250	73	316	1591	101	127	172	1531	2024	513	687	71	84	92	1173
102	109	280	93	281	791	2128	5598	1464	390	1600	415	74	74	104	63	377	611	346	128	303	111	697	120	542	429	79	146	135	106	681	114	1633	122	763	325	1421	14121	131	611	442	89	198	39	79
48	72	711	174	378	99	1654	2400	1733	215	117	164	99	161	470	276	58	124	328	60	131	245	459	225	115	120	94	88	620	75	87	542	1624	211	5093	243	54	15	211	225	139	347	151	166	51
129	162	91	60	135	104	89	1589	100	59	2429	4596	54	922	42	46	33	425	688	68	72	530	115	167	244	37	577	49	391	83	2030	148	157	168	5705	380	69	155	208	127	71	78	89	609	47
170	99	724	715	239	1136	146	2675	441	215	301	179	78	823	57	58	428	151	598	108	129	77	115	63	2546	197	463	80	49	113	409	130	1566	209	50	141	243	NA	70	49	1085	95	128	66	62
191	105	147	205	436	92	809	1278	3011	129	70	882	73	111	64	65	46	171	4954	293	3758	89	428	1011	67	142	66	102	120	271	361	332	352	56	183	69	56	NA	150	147	119	2432	2504	73	59
75	96	513	252	65	302	355	660	249	313	137	81	92	156	463	55	130	221	2983	45	672	117	68	87	163	53	40	154	162	53	212	441	66	367	3718	356	625	NA	56	92	292	268	129	69	112
167	86	70	66	3837	821	129	687	232	540	566	76	64	545	363	60	527	62	40	64	127	138	413	295	114	427	43	349	64	52	155	204	126	216	130	204	443	NA	5731	92	184	154	68	63	1087
97	231	269	1027	139	745	87	362	998	269	221	823	68	370	502	1364	72	61	134	450	269	151	376	143	536	65	59	403	885	150	151	80	664	78	105	107	681	NA	178	412	308	218	139	89	183
451	140	661	187	122	1209	92	535	1527	99	4754	313	65	800	59	128	77	54	312	77	185	223	804	60	536	131	84	756	176	779	56	86	811	129	116	465	79	NA	1200	152	185	202	352	112	212
115	86	273	114	198	1799	42	295	532	136	343	1124	470	111	55	616	140	139	81	225	89	685	272	383	536	160	124	270	91	97	190	1801	499	76	111	193	121	NA	120	80	123	84	39	66	306
610	525	213	70	47	341	93	128	271	347	496	1532	67	209	996	66	351	254	65	148	78	51	31	1539	450	95	63	76	65	179	49	543	175	415	198	72	988	NA	3861	270	225	356	1661	2694	67
163	231	95	286	183	182	72	58	480	341	8139	55	79	2177	628	57	1358	102	60	127	98	250	376	92	141	278	1107	38	45	68	110	464	268	42	105	230	183	NA	3677	251	542	250	2836	238	459
191	57	572	74	95	78	659	136	677	215	98	58	72	102	171	691	75	155	435	77	89	161	81	636	264	277	140	81	960	65	125	1886	91	205	53	598	85	NA	1946	547	114	89	2836	343	85
1057	191	342	115	399	266	41	313	212	217	1598	65	62	241	69	84	300	130	575	39	147	128	494	164	718	241	226	187	749	63	57	381	981	387	169	158	769	NA	194	412	1495	708	61	123	70
860	71	210	411	117	1190	346	537	500	101	63	470	207	139	418	57	131	85	1412	61	237	63	662	204	315	276	69	117	155	51	94	889	109	196	272	179	259	NA	86	1013	1093	619	254	63	58
198	143	189	51	770	939	142	135	874	221	78	38	265	2877	82	48	2671	153	59	152	83	197	1076	311	252	254	518	71	114	160	50	178	455	375	729	207	1484	NA	507	383	388	268	142	167	74
119	231	103	428	142	301	581	62	377	1600	193	61	83	65	673	53	73	59	152	67	407	62	661	51	252	149	1430	110	83	216	57	52	313	205	171	391	152	NA	949	424	567	148	2013	378	115
561	313	135	88	70	56	1066	1519	1783	82	32	50	90	114	483	62	659	274	681	45	1350	95	83	74	290	834	1363	438	238	122	155	120	253	93	213	66	64	NA	100	44	109	440	63	345	73
154	94	492	591	1530	269	96	446	2096	113	169	91	86	130	458	70	1169	298	595	205	94	248	87	439	57	86	347	123	47	505	105	92	130	638	269	2222	169	NA	631	446	2147	215	63	475	65
75	129	387	93	305	477	1399	394	339	210	274	59	49	63	812	102	427	62	989	307	72	79	66	57	372	34	1360	100	110	321	1269	1133	698	258	106	2546	724	NA	140	58	152	58	120	133	64
69	250	420	72	122	346	216	154	931	101	406	115	316	56	415	37	141	130	783	135	272	79	948	567	282	54	409	342	190	1329	116	406	1203	183	249	272	420	NA	161	114	316	220	112	51	57
