mito	coverage
1	0
2	8
3	9
4	9
5	9
6	9
7	9
8	9
9	9
10	9
11	9
12	9
13	9
14	9
15	9
16	9
17	9
18	9
19	9
20	10
21	10
22	10
23	10
24	10
25	10
26	11
27	11
28	11
29	11
30	11
31	11
32	11
33	11
34	11
35	11
36	11
37	11
38	11
39	11
40	11
41	11
42	11
43	11
44	11
45	11
46	11
47	11
48	11
49	11
50	11
51	11
52	11
53	11
54	11
55	11
56	11
57	11
58	11
59	11
60	11
61	11
62	11
63	11
64	11
65	11
66	11
67	11
68	11
69	11
70	11
71	11
72	11
73	11
74	11
75	11
76	10
77	10
78	10
79	10
80	10
81	10
82	10
83	10
84	10
85	9
86	9
87	9
88	9
89	9
90	9
91	9
92	9
93	9
94	9
95	9
96	9
97	9
98	9
99	9
100	9
101	9
102	9
103	9
104	9
105	9
106	9
107	9
108	8
109	8
110	8
111	8
112	8
113	7
114	7
115	7
116	7
117	7
118	7
119	7
120	7
121	7
122	7
123	7
124	7
125	7
126	7
127	7
128	7
129	7
130	7
131	7
132	7
133	7
134	7
135	7
136	7
137	7
138	7
139	7
140	7
141	7
142	6
143	6
144	6
145	6
146	6
147	6
148	6
149	6
150	6
151	6
152	6
153	6
154	6
155	6
156	6
157	6
158	6
159	6
160	6
161	6
162	6
163	7
164	7
165	7
166	7
167	7
168	7
169	7
170	7
171	7
172	7
173	7
174	7
175	8
176	8
177	8
178	8
179	8
180	8
181	8
182	8
183	8
184	8
185	8
186	8
187	8
188	8
189	7
190	7
191	7
192	7
193	7
194	7
195	7
196	7
197	7
198	7
199	7
200	7
201	7
202	7
203	7
204	7
205	7
206	7
207	7
208	7
209	7
210	7
211	7
212	7
213	7
214	7
215	7
216	7
217	7
218	7
219	7
220	7
221	7
222	7
223	7
224	7
225	7
226	7
227	7
228	7
229	7
230	7
231	7
232	7
233	7
234	7
235	7
236	7
237	7
238	7
239	7
240	7
241	7
242	7
243	7
244	7
245	7
246	7
247	7
248	7
249	7
250	7
251	7
252	7
253	7
254	7
255	7
256	7
257	7
258	7
259	7
260	7
261	7
262	7
263	7
264	7
265	7
266	7
267	7
268	7
269	7
270	7
271	7
272	7
273	7
274	7
275	7
276	7
277	7
278	7
279	7
280	7
281	7
282	7
283	7
284	7
285	7
286	7
287	7
288	7
289	7
290	6
291	6
292	6
293	6
294	6
295	6
296	6
297	6
298	6
299	6
300	6
301	6
302	6
303	6
304	6
305	6
306	6
307	6
308	7
309	7
310	7
311	7
312	7
313	7
314	7
315	7
316	7
317	7
318	7
319	7
320	7
321	7
322	7
323	7
324	7
325	7
326	7
327	7
328	7
329	7
330	7
331	7
332	7
333	7
334	7
335	7
336	7
337	6
338	6
339	6
340	6
341	6
342	6
343	6
344	6
345	6
346	6
347	6
348	6
349	6
350	6
351	6
352	6
353	6
354	6
355	6
356	6
357	6
358	6
359	6
360	6
361	6
362	6
363	6
364	6
365	6
366	6
367	6
368	6
369	6
370	6
371	6
372	6
373	6
374	6
375	6
376	6
377	6
378	6
379	6
380	6
381	6
382	6
383	6
384	6
385	6
386	6
387	6
388	6
389	6
390	6
391	6
392	6
393	6
394	6
395	6
396	6
397	6
398	6
399	6
400	6
401	6
402	6
403	6
404	6
405	6
406	6
407	6
408	6
409	6
410	6
411	6
412	6
413	6
414	7
415	7
416	7
417	7
418	7
419	7
420	7
421	7
422	7
423	7
424	7
425	7
426	7
427	7
428	7
429	7
430	7
431	7
432	7
433	7
434	7
435	7
436	7
437	7
438	7
439	7
440	7
441	7
442	7
443	7
444	7
445	7
446	7
447	7
448	7
449	7
450	7
451	7
452	7
453	7
454	7
455	7
456	7
457	7
458	7
459	7
460	7
461	7
462	7
463	7
464	7
465	7
466	7
467	7
468	7
469	7
470	7
471	7
472	7
473	7
474	7
475	7
476	7
477	7
478	7
479	7
480	7
481	8
482	8
483	8
484	8
485	8
486	8
487	8
488	8
489	8
490	8
491	8
492	8
493	8
494	8
495	8
496	8
497	8
498	8
499	8
500	8
501	8
502	8
503	8
504	8
505	8
506	8
507	8
508	8
509	8
510	8
511	8
512	8
513	8
514	8
515	8
516	8
517	8
518	8
519	8
520	8
521	8
522	8
523	8
524	8
525	8
526	8
527	8
528	8
529	8
530	8
531	8
532	8
533	9
534	9
535	9
536	9
537	9
538	9
539	9
540	9
541	9
542	9
543	9
544	9
545	9
546	9
547	9
548	9
549	9
550	9
551	9
552	9
553	9
554	9
555	9
556	9
557	9
558	9
559	9
560	9
561	9
562	9
563	9
564	9
565	10
566	10
567	10
568	10
569	10
570	10
571	10
572	10
573	10
574	10
575	10
576	10
577	10
578	10
579	10
580	10
581	10
582	10
583	10
584	10
585	10
586	10
587	10
588	10
589	10
590	10
591	10
592	8
593	8
594	8
595	8
596	8
597	8
598	8
599	8
600	8
601	8
602	8
603	8
604	8
605	8
606	8
607	8
608	8
609	8
610	8
611	9
612	10
613	10
614	11
615	11
616	11
617	11
618	11
619	11
620	11
621	11
622	11
623	10
624	10
625	10
626	10
627	10
628	10
629	10
630	10
631	10
632	10
633	10
634	10
635	10
636	10
637	10
638	10
639	10
640	10
641	10
642	10
643	10
644	10
645	10
646	10
647	10
648	10
649	10
650	10
651	10
652	10
653	10
654	10
655	10
656	10
657	11
658	11
659	11
660	11
661	11
662	11
663	11
664	11
665	11
666	11
667	11
668	11
669	11
670	11
671	11
672	11
673	11
674	11
675	11
676	11
677	11
678	11
679	11
680	11
681	11
682	11
683	11
684	11
685	11
686	12
687	12
688	12
689	12
690	12
