mito	coverage
1	0
2	8
3	8
4	8
5	8
6	8
7	8
8	8
9	8
10	8
11	8
12	8
13	8
14	9
15	9
16	9
17	9
18	9
19	9
20	9
21	9
22	9
23	9
24	15
25	15
26	15
27	15
28	16
29	16
30	16
31	16
32	16
33	16
34	16
35	16
36	16
37	16
38	16
39	16
40	16
41	15
42	15
43	15
44	15
45	15
46	15
47	15
48	15
49	15
50	15
51	15
52	15
53	15
54	16
55	16
56	17
57	17
58	17
59	17
60	17
61	17
62	17
63	17
64	17
65	17
66	17
67	17
68	17
69	17
70	17
71	17
72	17
73	17
74	18
75	18
76	18
77	18
78	18
79	18
80	18
81	18
82	18
83	18
84	18
85	18
86	18
87	18
88	18
89	18
90	18
91	18
92	18
93	18
94	18
95	18
96	17
97	17
98	17
99	17
100	17
101	17
102	17
103	17
104	17
105	17
106	17
107	17
108	17
109	17
110	17
111	17
112	17
113	17
114	17
115	17
116	17
117	17
118	17
119	17
120	16
121	16
122	16
123	16
124	16
125	16
126	16
127	16
128	16
129	16
130	16
131	16
132	16
133	16
134	16
135	16
136	16
137	16
138	16
139	16
140	16
141	16
142	16
143	16
144	16
145	16
146	16
147	15
148	14
149	14
150	14
151	13
152	13
153	13
154	13
155	13
156	13
157	13
158	13
159	13
160	13
161	13
162	13
163	13
164	13
165	13
166	13
167	13
168	13
169	13
170	13
171	13
172	13
173	13
174	13
175	13
176	13
177	13
178	13
179	13
180	13
181	13
182	13
183	13
184	13
185	13
186	13
187	13
188	13
189	13
190	13
191	13
192	13
193	13
194	13
195	12
196	12
197	12
198	12
199	12
200	12
201	12
202	12
203	12
204	12
205	12
206	12
207	12
208	12
209	12
210	12
211	12
212	12
213	12
214	13
215	13
216	13
217	13
218	13
219	13
220	13
221	13
222	13
223	13
224	13
225	13
226	13
227	13
228	13
229	13
230	13
231	13
232	13
233	13
234	13
235	15
236	15
237	15
238	15
239	15
240	15
241	15
242	15
243	15
244	15
245	16
246	16
247	16
248	16
249	16
250	16
251	16
252	16
253	16
254	16
255	16
256	16
257	16
258	16
259	16
260	16
261	16
262	16
263	16
264	16
265	16
266	16
267	16
268	16
269	16
270	16
271	16
272	16
273	16
274	16
275	16
276	16
277	16
278	16
279	16
280	16
281	16
282	16
283	16
284	16
285	16
286	15
287	15
288	15
289	15
290	14
291	14
292	14
293	14
294	14
295	14
296	14
297	14
298	14
299	14
300	14
301	14
302	14
303	14
304	14
305	14
306	14
307	14
308	14
309	14
310	14
311	14
312	14
313	14
314	14
315	14
316	14
317	14
318	13
319	13
320	13
321	13
322	13
323	13
324	13
325	13
326	13
327	13
328	13
329	13
330	13
331	13
332	13
333	13
334	13
335	13
336	13
337	13
338	13
339	13
340	13
341	13
342	13
343	13
344	13
345	13
346	13
347	13
348	13
349	13
350	13
351	13
352	12
353	11
354	11
355	11
356	11
357	11
358	11
359	11
360	11
361	11
362	11
363	11
364	11
365	11
366	11
367	11
368	11
369	11
370	11
371	11
372	11
373	11
374	11
375	11
376	11
377	11
378	11
379	11
380	11
381	11
382	11
383	11
384	11
385	11
386	11
387	11
388	12
389	12
390	12
391	12
392	12
393	12
394	12
395	12
396	12
397	12
398	12
399	12
400	12
401	12
402	12
403	12
404	12
405	12
406	12
407	12
408	12
409	12
410	12
411	12
412	11
413	11
414	11
415	11
416	11
417	11
418	11
419	11
420	11
421	11
422	11
423	11
424	11
425	11
426	11
427	11
428	11
429	11
430	11
431	11
432	11
433	11
434	11
435	11
436	11
437	11
438	10
439	10
440	10
441	10
442	10
443	10
444	10
445	10
446	10
447	10
448	10
449	10
450	10
451	10
452	10
453	10
454	10
455	10
456	10
457	10
458	10
459	10
460	10
461	10
462	10
463	10
464	10
465	10
466	10
467	10
468	10
469	10
470	10
471	10
472	10
473	10
474	10
475	10
476	11
477	11
478	11
479	11
480	11
481	11
482	11
483	11
484	11
485	11
486	11
487	11
488	11
489	11
490	11
491	11
492	11
493	11
494	11
495	11
496	11
497	11
498	11
499	11
500	11
501	11
502	11
503	11
504	11
505	11
506	11
507	11
508	11
509	11
510	11
511	11
512	11
513	11
514	11
515	11
516	11
517	11
518	11
519	11
520	11
521	11
522	11
523	11
524	11
525	11
526	11
527	11
528	11
529	11
530	11
531	11
532	11
533	11
534	11
535	11
536	11
537	11
538	11
539	11
540	11
541	11
542	11
543	11
544	11
545	11
546	11
547	11
548	11
549	11
550	11
551	11
552	11
553	11
554	11
555	11
556	11
557	11
558	11
559	11
560	11
561	11
562	11
563	11
564	11
565	11
566	11
567	11
568	11
569	11
570	11
571	11
572	11
573	11
574	11
575	11
576	11
577	12
578	12
579	13
580	13
581	14
582	15
583	15
584	15
585	15
586	15
587	28
588	28
589	28
590	46
591	46
592	46
593	46
594	46
595	50
596	50
597	50
598	50
599	50
600	50
601	50
602	50
603	50
604	50
605	50
606	50
607	50
608	50
609	50
610	50
611	50
612	50
613	50
614	50
615	50
616	50
617	50
618	50
619	50
620	50
621	51
622	51
623	51
624	51
625	51
626	51
627	51
628	51
629	51
630	51
631	51
632	51
633	51
634	51
635	51
636	51
637	51
638	51
639	51
640	51
641	51
642	51
643	51
644	51
645	51
646	42
647	42
648	42
649	42
650	42
651	42
652	42
653	42
654	42
655	42
656	42
657	42
658	42
659	42
660	42
661	42
662	42
663	41
664	41
665	41
666	41
667	41
668	41
669	41
670	41
671	41
672	41
673	41
674	41
675	41
676	41
677	41
678	41
679	41
680	41
681	40
682	40
683	40
684	37
685	13
686	13
687	13
688	13
689	13
690	13
