mito	coverage
1	0
2	5
3	5
4	5
5	5
6	5
7	5
8	6
9	7
10	7
11	7
12	7
13	7
14	7
15	7
16	7
17	7
18	7
19	7
20	7
21	7
22	7
23	7
24	7
25	7
26	7
27	7
28	8
29	8
30	8
31	8
32	8
33	8
34	8
35	8
36	8
37	8
38	8
39	8
40	8
41	8
42	8
43	8
44	8
45	8
46	8
47	8
48	8
49	8
50	8
51	8
52	8
53	8
54	8
55	8
56	8
57	8
58	8
59	7
60	7
61	7
62	7
63	7
64	7
65	7
66	7
67	7
68	7
69	7
70	7
71	7
72	8
73	8
74	8
75	8
76	8
77	8
78	8
79	8
80	8
81	8
82	8
83	8
84	8
85	8
86	8
87	8
88	8
89	8
90	8
91	8
92	8
93	9
94	8
95	8
96	8
97	8
98	8
99	8
100	8
101	8
102	8
103	8
104	8
105	8
106	8
107	8
108	8
109	8
110	8
111	8
112	8
113	8
114	8
115	8
116	8
117	8
118	8
119	8
120	8
121	9
122	10
123	10
124	10
125	10
126	10
127	10
128	10
129	10
130	10
131	10
132	10
133	10
134	10
135	10
136	10
137	10
138	10
139	10
140	10
141	10
142	10
143	10
144	10
145	10
146	10
147	10
148	10
149	10
150	10
151	10
152	10
153	10
154	10
155	10
156	10
157	10
158	10
159	10
160	10
161	10
162	10
163	10
164	10
165	10
166	10
167	10
168	10
169	10
170	10
171	10
172	10
173	10
174	10
175	10
176	10
177	10
178	10
179	10
180	11
181	11
182	11
183	11
184	11
185	11
186	10
187	10
188	10
189	10
190	10
191	10
192	9
193	9
194	9
195	9
196	9
197	9
198	9
199	9
200	9
201	9
202	9
203	9
204	9
205	9
206	9
207	9
208	9
209	9
210	9
211	9
212	9
213	9
214	9
215	9
216	9
217	9
218	9
219	9
220	9
221	9
222	9
223	9
224	9
225	9
226	9
227	9
228	9
229	9
230	9
231	8
232	8
233	8
234	8
235	8
236	8
237	8
238	8
239	8
240	8
241	8
242	9
243	9
244	9
245	9
246	9
247	10
248	10
249	10
250	10
251	10
252	10
253	10
254	10
255	10
256	10
257	10
258	10
259	10
260	10
261	10
262	10
263	10
264	10
265	10
266	10
267	10
268	10
269	10
270	10
271	10
272	10
273	10
274	10
275	10
276	10
277	10
278	10
279	10
280	10
281	10
282	10
283	9
284	9
285	9
286	8
287	8
288	8
289	8
290	8
291	8
292	9
293	9
294	9
295	9
296	9
297	9
298	9
299	9
300	9
301	9
302	9
303	9
304	9
305	9
306	9
307	9
308	9
309	8
310	8
311	8
312	8
313	8
314	8
315	8
316	8
317	8
318	8
319	8
320	8
321	8
322	7
323	7
324	7
325	7
326	7
327	7
328	6
329	6
330	7
331	7
332	7
333	7
334	8
335	8
336	7
337	7
338	7
339	7
340	7
341	7
342	7
343	7
344	7
345	7
346	7
347	7
348	7
349	7
350	7
351	7
352	7
353	7
354	7
355	7
356	7
357	7
358	7
359	7
360	7
361	7
362	8
363	8
364	8
365	8
366	8
367	8
368	8
369	8
370	8
371	8
372	8
373	8
374	8
375	7
376	7
377	7
378	7
379	7
380	7
381	7
382	7
383	7
384	7
385	7
386	7
387	7
388	7
389	7
390	7
391	7
392	7
393	7
394	7
395	7
396	7
397	7
398	7
399	7
400	7
401	8
402	8
403	8
404	8
405	8
406	8
407	8
408	8
409	8
410	8
411	8
412	8
413	8
414	8
415	8
416	8
417	8
418	8
419	8
420	8
421	8
422	8
423	8
424	8
425	8
426	8
427	8
428	8
429	9
430	8
431	8
432	8
433	8
434	7
435	7
436	7
437	6
438	6
439	6
440	6
441	6
442	6
443	6
444	6
445	6
446	6
447	6
448	6
449	6
450	6
451	6
452	6
453	6
454	6
455	6
456	6
457	6
458	6
459	5
460	5
461	5
462	5
463	5
464	5
465	5
466	5
467	5
468	5
469	5
470	5
471	5
472	5
473	5
474	5
475	5
476	5
477	5
478	5
479	5
480	5
481	5
482	5
483	5
484	5
485	5
486	5
487	5
488	5
489	5
490	5
491	5
492	5
493	5
494	5
495	5
496	5
497	5
498	5
499	5
500	5
501	5
502	5
503	5
504	5
505	5
506	5
507	5
508	5
509	5
510	5
511	5
512	5
513	5
514	5
515	5
516	5
517	5
518	5
519	5
520	5
521	6
522	6
523	6
524	6
525	6
526	6
527	6
528	6
529	6
530	6
531	6
532	6
533	6
534	6
535	6
536	6
537	6
538	6
539	6
540	6
541	6
542	6
543	6
544	6
545	6
546	6
547	6
548	6
549	6
550	6
551	6
552	6
553	6
554	6
555	6
556	6
557	6
