mito	coverage
1	0
2	5
3	6
4	6
5	6
6	9
7	10
8	11
9	11
10	11
11	11
12	11
13	11
14	13
15	13
16	13
17	13
18	13
19	13
20	13
21	15
22	16
23	17
24	17
25	17
26	17
27	17
28	17
29	17
30	17
31	17
32	17
33	17
34	17
35	17
36	17
37	17
38	17
39	17
40	17
41	17
42	17
43	17
44	17
45	17
46	17
47	17
48	17
49	17
50	17
51	17
52	17
53	17
54	17
55	17
56	17
57	18
58	18
59	18
60	18
61	20
62	20
63	20
64	20
65	20
66	20
67	20
68	20
69	20
70	20
71	20
72	20
73	20
74	20
75	20
76	20
77	20
78	20
79	20
80	20
81	21
82	21
83	21
84	21
85	21
86	22
87	23
88	23
89	23
90	23
91	23
92	23
93	23
94	23
95	23
96	23
97	23
98	23
99	23
100	23
101	23
102	23
103	23
104	23
105	23
106	23
107	23
108	23
109	23
110	23
111	23
112	23
113	23
114	23
115	23
116	23
117	23
118	23
119	23
120	23
121	23
122	23
123	23
124	23
125	23
126	23
127	23
128	23
129	23
130	23
131	23
132	23
133	23
134	23
135	23
136	23
137	23
138	23
139	22
140	22
141	21
142	21
143	21
144	21
145	19
146	19
147	16
148	16
149	16
150	16
151	16
152	16
153	16
154	16
155	16
156	16
157	16
158	16
159	16
160	16
161	16
162	16
163	16
164	16
165	16
166	17
167	17
168	17
169	17
170	17
171	17
172	17
173	17
174	17
175	17
176	17
177	17
178	17
179	17
180	17
181	17
182	17
183	17
184	17
185	17
186	17
187	17
188	17
189	16
190	16
191	16
192	16
193	16
194	16
195	16
196	16
197	16
198	16
199	16
200	16
201	16
202	16
203	16
204	16
205	16
206	16
207	16
208	16
209	16
210	16
211	16
212	16
213	16
214	16
215	16
216	16
217	15
218	15
219	15
220	15
221	15
222	15
223	15
224	15
225	15
226	15
227	15
228	15
229	15
230	15
231	15
232	15
233	15
234	15
235	15
236	15
237	15
238	15
239	15
240	15
241	15
242	15
243	15
244	15
245	16
246	16
247	16
248	16
249	16
250	16
251	16
252	16
253	16
254	16
255	16
256	16
257	16
258	16
259	16
260	16
261	16
262	16
263	16
264	16
265	16
266	16
267	16
268	16
269	16
270	16
271	16
272	16
273	16
274	16
275	16
276	16
277	16
278	16
279	16
280	16
281	16
282	16
283	10
284	10
285	10
286	10
287	10
288	10
289	10
290	11
291	11
292	11
293	11
294	11
295	11
296	11
297	11
298	11
299	11
300	11
301	11
302	11
303	11
304	11
305	11
306	11
307	11
308	11
309	11
310	11
311	11
312	11
313	11
314	11
315	11
316	11
317	11
318	11
319	11
320	11
321	11
322	11
323	11
324	11
325	11
326	11
327	9
328	9
329	9
330	9
331	9
332	9
333	9
334	9
335	9
336	9
337	9
338	9
339	9
340	9
341	9
342	9
343	9
344	9
345	9
346	9
347	9
348	9
349	9
350	9
351	9
352	9
353	9
354	9
355	8
356	8
357	8
358	8
359	8
360	8
361	8
362	8
363	8
364	9
365	9
366	9
367	9
368	9
369	9
370	9
371	9
372	9
373	9
374	9
375	9
376	9
377	9
378	9
379	9
380	9
381	9
382	9
383	9
384	9
385	9
386	9
387	9
388	9
389	9
390	9
391	9
392	9
393	9
394	9
395	9
396	9
397	8
398	8
399	8
400	8
401	8
402	8
403	8
404	7
405	7
406	7
407	7
408	7
409	7
410	7
411	7
412	7
413	7
414	7
415	7
416	7
417	7
418	7
419	7
420	7
421	7
422	7
423	7
424	7
425	7
426	7
427	7
428	7
429	7
430	7
431	8
432	8
433	8
434	8
435	8
436	8
437	8
438	8
439	8
440	8
441	8
442	8
443	8
444	8
445	8
446	8
447	8
448	8
449	8
450	8
451	8
452	8
453	8
454	8
455	8
456	8
457	8
458	8
459	8
460	8
461	8
462	8
463	8
464	8
465	8
466	8
467	9
468	9
469	9
470	9
471	9
472	9
473	9
474	9
475	9
476	9
477	9
478	9
479	10
480	10
481	11
482	10
483	10
484	10
485	10
486	11
487	11
488	11
489	11
490	11
491	11
492	11
493	11
494	11
495	11
496	11
497	11
498	11
499	11
500	11
501	11
502	11
503	11
504	11
505	11
506	11
507	11
508	11
509	11
510	11
511	11
512	11
513	11
514	11
515	11
516	11
517	11
518	11
519	11
520	11
521	11
522	11
523	11
524	11
525	11
526	11
527	11
528	11
529	11
530	11
531	11
532	11
533	11
534	11
535	11
536	11
537	11
538	11
539	11
540	11
541	11
542	11
543	11
544	11
545	11
546	11
547	11
548	11
549	11
550	11
551	11
552	11
553	11
554	11
555	11
556	11
557	11
