mito	coverage
1	0
2	6
3	6
4	6
5	6
6	6
7	6
8	6
9	6
10	6
11	6
12	6
13	6
14	6
15	6
16	6
17	6
18	6
19	6
20	6
21	6
22	6
23	6
24	6
25	6
26	6
27	6
28	6
29	7
30	7
31	7
32	7
33	7
34	7
35	7
36	7
37	7
38	7
39	7
40	7
41	7
42	7
43	7
44	7
45	7
46	7
47	7
48	7
49	7
50	7
51	7
52	7
53	7
54	8
55	8
56	8
57	8
58	8
59	9
60	9
61	9
62	10
63	10
64	10
65	10
66	10
67	10
68	10
69	10
70	10
71	10
72	10
73	10
74	10
75	10
76	10
77	10
78	10
79	10
80	10
81	10
82	10
83	10
84	9
85	9
86	9
87	9
88	9
89	9
90	9
91	9
92	9
93	9
94	9
95	9
96	9
97	9
98	9
99	9
100	8
101	8
102	8
103	8
104	8
105	8
106	8
107	8
108	8
109	8
110	8
111	8
112	8
113	8
114	8
115	8
116	8
117	8
118	8
119	7
120	7
121	7
122	7
123	7
124	6
125	6
126	6
127	6
128	6
129	6
130	6
131	6
132	6
133	6
134	6
135	6
136	6
137	6
138	6
139	6
140	6
141	6
142	6
143	6
144	6
145	6
146	6
147	6
148	6
149	6
150	6
151	6
152	6
153	6
154	6
155	6
156	6
157	6
158	6
159	6
160	6
161	6
162	6
163	6
164	6
165	6
166	6
167	6
168	7
169	7
170	7
171	7
172	7
173	7
174	7
175	7
176	7
177	7
178	7
179	7
180	7
181	7
182	7
183	7
184	7
185	7
186	7
187	7
188	7
189	8
190	8
191	8
192	8
193	8
194	8
195	8
196	8
197	8
198	8
199	9
200	9
201	10
202	11
203	11
204	11
205	11
206	11
207	11
208	11
209	11
210	11
211	11
212	11
213	11
214	11
215	12
216	12
217	12
218	12
219	12
220	12
221	12
222	12
223	12
224	12
225	12
226	12
227	12
228	12
229	12
230	11
231	11
232	11
233	11
234	11
235	11
236	11
237	11
238	11
239	11
240	11
241	11
242	11
243	11
244	11
245	11
246	11
247	11
248	11
249	11
250	11
251	11
252	11
253	11
254	11
255	11
256	11
257	11
258	11
259	11
260	11
261	11
262	11
263	11
264	11
265	12
266	12
267	12
268	12
269	12
270	12
271	12
272	12
273	12
274	12
275	12
276	12
277	12
278	12
279	12
280	12
281	12
282	12
283	12
284	12
285	12
286	12
287	12
288	12
289	12
290	12
291	12
292	12
293	12
294	12
295	12
296	12
297	12
298	12
299	12
300	12
301	13
302	14
303	14
304	14
305	14
306	14
307	14
308	14
309	14
310	14
311	14
312	14
313	14
314	14
315	14
316	14
317	14
318	14
319	14
320	14
321	14
322	14
323	14
324	12
325	12
326	12
327	12
328	12
329	12
330	12
331	12
332	12
333	11
334	11
335	11
336	11
337	11
338	11
339	11
340	11
341	11
342	11
343	11
344	11
345	11
346	11
347	11
348	11
349	11
350	11
351	11
352	11
353	11
354	11
355	11
356	10
357	10
358	11
359	11
360	11
361	11
362	11
363	11
364	11
365	11
366	11
367	11
368	11
369	11
370	11
371	11
372	11
373	11
374	11
375	11
376	11
377	11
378	11
379	11
380	11
381	11
382	11
383	12
384	12
385	12
386	12
387	12
388	12
389	12
390	12
391	12
392	12
393	12
394	12
395	12
396	12
397	12
398	12
399	12
400	12
401	12
402	12
403	12
404	12
405	12
406	12
407	12
408	12
409	12
410	12
411	12
412	12
413	12
414	12
415	12
416	12
417	14
418	14
419	14
420	14
421	14
422	14
423	14
424	14
425	14
426	14
427	14
428	13
429	11
430	11
431	11
432	11
433	11
434	11
435	11
436	11
437	11
438	11
439	11
440	11
441	11
442	11
443	11
444	11
445	11
446	11
447	11
448	11
449	11
450	11
451	11
452	11
453	11
454	11
455	11
456	11
457	11
458	11
459	11
460	11
461	11
462	11
463	10
464	10
465	10
466	10
467	10
468	10
469	10
470	10
471	10
472	10
473	10
474	10
475	10
476	10
477	10
478	10
479	10
480	10
481	10
482	10
483	10
484	10
485	10
486	10
487	10
488	10
489	10
490	10
491	10
492	10
493	10
494	10
495	10
496	11
497	11
498	11
499	11
500	11
501	11
502	11
503	11
504	11
505	11
506	11
507	11
508	11
509	11
510	11
511	11
512	11
513	11
514	11
515	11
516	11
517	11
518	11
519	11
520	11
521	11
522	11
523	11
524	11
525	11
526	11
527	11
528	11
529	11
530	11
531	11
532	11
533	11
534	11
535	11
536	11
537	11
538	11
539	11
540	11
541	11
542	11
543	11
544	12
545	12
546	12
547	12
548	12
549	12
550	12
551	12
552	12
553	12
554	12
555	12
556	12
557	12
558	12
559	12
560	12
561	12
562	12
563	12
564	12
565	12
566	13
567	13
568	12
569	12
570	11
571	11
572	11
573	11
574	11
575	11
576	11
577	11
578	11
579	11
580	11
581	11
582	11
583	11
584	11
585	11
586	11
587	11
588	11
589	11
590	11
591	11
592	11
593	11
594	11
595	11
596	11
597	11
598	10
599	10
600	10
601	10
602	10
603	10
604	10
605	10
