mito	coverage
1	0
2	5
3	5
4	5
5	5
6	5
7	5
8	5
9	5
10	5
11	5
12	5
13	5
14	5
15	5
16	5
17	5
18	6
19	6
20	6
21	7
22	7
23	7
24	7
25	7
26	7
27	7
28	7
29	7
30	7
31	7
32	7
33	7
34	7
35	7
36	7
37	7
38	7
39	7
40	7
41	7
42	7
43	7
44	7
45	7
46	7
47	7
48	7
49	7
50	7
51	7
52	7
53	7
54	7
55	7
56	7
57	7
58	7
59	7
60	7
61	7
62	7
63	7
64	7
65	7
66	7
67	8
68	8
69	8
70	8
71	8
72	8
73	8
74	8
75	8
76	8
77	8
78	8
79	8
80	8
81	8
82	8
83	8
84	8
85	8
86	8
87	8
88	8
89	8
90	8
91	8
92	8
93	8
94	8
95	8
96	8
97	8
98	8
99	8
100	8
101	8
102	8
103	8
104	8
105	8
106	8
107	8
108	8
109	8
110	8
111	8
112	8
113	8
114	8
115	8
116	8
117	8
118	8
119	8
120	8
121	8
122	8
123	8
124	8
125	8
126	8
127	8
128	8
129	8
130	8
131	8
132	8
133	8
134	8
135	8
136	8
137	8
138	8
139	8
140	8
141	8
142	8
143	8
144	8
145	8
146	8
147	8
148	8
149	8
150	8
151	8
152	8
153	8
154	8
155	8
156	8
157	8
158	8
159	8
160	8
161	8
162	8
163	8
164	8
165	8
166	8
167	8
168	8
169	8
170	8
171	8
172	8
173	8
174	8
175	8
176	8
177	8
178	8
179	8
180	8
181	8
182	8
183	8
184	8
185	8
186	8
187	8
188	8
189	8
190	8
191	8
192	8
193	8
194	8
195	8
196	8
197	8
198	8
199	8
200	8
201	8
202	8
203	8
204	8
205	8
206	8
207	8
208	8
209	8
210	8
211	8
212	9
213	9
214	9
215	9
216	9
217	9
218	9
219	9
220	9
221	9
222	9
223	9
224	9
225	9
226	9
227	9
228	9
229	8
230	8
231	8
232	8
233	8
234	8
235	8
236	8
237	8
238	8
239	8
240	8
241	8
242	8
243	8
244	8
245	8
246	8
247	8
248	8
249	8
250	8
251	8
252	8
253	8
254	8
255	8
256	8
257	8
258	8
259	8
260	8
261	8
262	8
263	8
264	8
265	8
266	8
267	8
268	8
269	8
270	8
271	8
272	8
273	8
274	8
275	8
276	8
277	8
278	8
279	8
280	8
281	8
282	8
283	8
284	8
285	8
286	8
287	8
288	8
289	8
290	8
291	8
292	8
293	8
294	8
295	8
296	8
297	8
298	8
299	8
300	8
301	8
302	9
303	9
304	9
305	9
306	9
307	9
308	9
309	9
310	9
311	9
312	9
313	9
314	9
315	9
316	9
317	9
318	9
319	9
320	9
321	9
322	9
323	9
324	9
325	9
326	9
327	9
328	9
329	9
330	9
331	9
332	9
333	9
334	9
335	9
336	9
337	9
338	9
339	9
340	9
341	9
342	9
343	9
344	9
345	9
346	9
347	8
348	8
349	8
350	8
351	7
352	7
353	7
354	7
355	7
356	7
357	7
358	7
359	7
360	7
361	7
362	7
363	7
364	7
365	7
366	7
367	7
368	7
369	7
370	7
371	7
372	7
373	7
374	7
375	7
376	7
377	7
378	7
379	7
380	7
381	7
382	7
383	7
384	7
385	7
386	7
387	7
388	7
389	7
390	7
391	7
392	7
393	7
394	7
395	7
396	7
397	7
398	7
399	7
400	7
401	7
402	7
403	7
404	7
405	7
406	7
407	7
408	7
409	7
410	7
411	7
412	7
413	7
414	7
415	7
416	7
417	7
418	7
419	7
420	7
421	7
422	7
423	7
424	7
425	7
426	7
427	7
428	7
429	7
430	7
431	7
432	7
433	7
434	7
435	7
436	7
437	7
438	7
439	7
440	7
441	7
442	7
443	7
444	7
445	7
446	7
447	7
448	7
449	7
450	7
451	7
452	7
453	7
454	7
455	7
456	7
457	7
458	7
459	7
460	7
461	7
462	7
463	8
464	8
465	8
466	8
467	8
468	8
469	8
470	8
471	8
472	8
473	8
474	8
475	8
476	8
477	8
478	8
479	8
480	8
481	8
482	8
483	8
484	8
485	8
486	8
487	8
488	8
489	8
490	8
491	8
492	8
493	8
494	8
495	8
496	8
497	8
498	8
499	7
500	7
501	7
502	7
503	7
504	7
505	7
506	7
507	7
508	7
509	7
510	7
511	7
512	7
513	7
514	7
515	7
516	7
517	7
518	7
519	7
520	7
521	6
522	6
523	5
524	5
525	5
526	5
527	5
528	5
529	5
530	4
531	4
532	4
533	4
534	4
535	4
536	4
537	4
538	4
539	4
540	4
541	4
542	4
543	4
544	4
545	4
546	4
547	4
548	4
549	4
550	4
551	4
552	4
553	4
554	4
555	4
556	4
557	4
