species	mito	coverage
NC_040970.1	1	0
NC_040970.1	2	0
NC_040970.1	3	0
NC_040970.1	4	0
NC_040970.1	5	0
NC_040970.1	6	0
NC_040970.1	7	0
NC_040970.1	8	0
NC_040970.1	9	0
NC_040970.1	10	0
NC_040970.1	11	0
NC_040970.1	12	0
NC_040970.1	13	0
NC_040970.1	14	0
NC_040970.1	15	0
NC_040970.1	16	0
NC_040970.1	17	0
NC_040970.1	18	0
NC_040970.1	19	0
NC_040970.1	20	0
NC_040970.1	21	0
NC_040970.1	22	0
NC_040970.1	23	0
NC_040970.1	24	0
NC_040970.1	25	0
NC_040970.1	26	0
NC_040970.1	27	0
NC_040970.1	28	0
NC_040970.1	29	0
NC_040970.1	30	0
NC_040970.1	31	0
NC_040970.1	32	0
NC_040970.1	33	0
NC_040970.1	34	0
NC_040970.1	35	0
NC_040970.1	36	0
NC_040970.1	37	0
NC_040970.1	38	0
NC_040970.1	39	0
NC_040970.1	40	0
NC_040970.1	41	0
NC_040970.1	42	0
NC_040970.1	43	0
NC_040970.1	44	0
NC_040970.1	45	0
NC_040970.1	46	0
NC_040970.1	47	0
NC_040970.1	48	0
NC_040970.1	49	0
NC_040970.1	50	0
NC_040970.1	51	0
NC_040970.1	52	0
NC_040970.1	53	0
NC_040970.1	54	0
NC_040970.1	55	0
NC_040970.1	56	0
NC_040970.1	57	0
NC_040970.1	58	0
NC_040970.1	59	0
NC_040970.1	60	0
NC_040970.1	61	0
NC_040970.1	62	0
NC_040970.1	63	0
NC_040970.1	64	0
NC_040970.1	65	0
NC_040970.1	66	0
NC_040970.1	67	0
NC_040970.1	68	0
NC_040970.1	69	0
NC_040970.1	70	0
NC_040970.1	71	0
NC_040970.1	72	0
NC_040970.1	73	0
NC_040970.1	74	0
NC_040970.1	75	0
NC_040970.1	76	0
NC_040970.1	77	0
NC_040970.1	78	0
NC_040970.1	79	0
NC_040970.1	80	0
NC_040970.1	81	0
NC_040970.1	82	0
NC_040970.1	83	0
NC_040970.1	84	0
NC_040970.1	85	0
NC_040970.1	86	0
NC_040970.1	87	0
NC_040970.1	88	0
NC_040970.1	89	0
NC_040970.1	90	0
NC_040970.1	91	0
NC_040970.1	92	0
NC_040970.1	93	0
NC_040970.1	94	0
NC_040970.1	95	0
NC_040970.1	96	0
NC_040970.1	97	0
NC_040970.1	98	0
