mito	coverage
1	0
2	17
3	17
4	18
5	18
6	18
7	18
8	18
9	18
10	18
11	18
12	18
13	18
14	18
15	18
16	18
17	18
18	18
19	18
20	19
21	19
22	19
23	19
24	19
25	19
26	19
27	19
28	19
29	19
30	19
31	19
32	19
33	19
34	19
35	19
36	19
37	19
38	19
39	19
40	19
41	19
42	19
43	19
44	19
45	19
46	19
47	19
48	19
49	19
50	19
51	19
52	19
53	19
54	19
55	19
56	19
57	19
58	19
59	19
60	19
61	19
62	19
63	19
64	19
65	19
66	19
67	19
68	19
69	19
70	19
71	19
72	19
73	19
74	19
75	19
76	19
77	19
78	19
79	19
80	19
81	19
82	19
83	19
84	19
85	18
86	18
87	18
88	18
89	18
90	18
91	18
92	18
93	18
94	18
95	18
96	18
97	18
98	17
99	17
100	17
101	17
102	17
103	17
104	17
105	18
106	18
107	18
108	18
109	18
110	18
111	18
112	18
113	18
114	18
115	18
116	18
117	18
118	18
119	18
120	18
121	18
122	18
123	18
124	18
125	18
126	18
127	18
128	18
129	17
130	17
131	17
132	17
133	17
134	17
135	17
136	17
137	17
138	17
139	17
140	17
141	17
142	17
143	17
144	17
145	17
146	17
147	17
148	17
149	17
150	17
151	17
152	17
153	17
154	17
155	17
156	17
157	17
158	17
159	17
160	17
161	17
162	17
163	17
164	17
165	17
166	17
167	17
168	17
169	17
170	17
171	17
172	17
173	17
174	17
175	17
176	17
177	17
178	17
179	17
180	17
181	17
182	17
183	17
184	17
185	17
186	17
187	17
188	17
189	17
190	17
191	17
192	17
193	17
194	17
195	17
196	17
197	17
198	17
199	17
200	17
201	17
202	17
203	17
204	17
205	17
206	17
207	17
208	17
209	17
210	17
211	17
212	17
213	17
214	17
215	17
216	17
217	17
218	17
219	17
220	17
221	17
222	17
223	17
224	17
225	18
226	18
227	18
228	18
229	18
230	18
231	18
232	18
233	18
234	18
235	18
236	18
237	18
238	18
239	18
240	18
241	18
242	18
243	18
244	18
245	18
246	18
247	18
248	18
249	18
250	18
251	18
252	18
253	18
254	18
255	18
256	18
257	18
258	18
259	18
260	18
261	18
262	18
263	18
264	18
265	18
