mito	coverage
1	0
2	22
3	22
4	23
5	23
6	25
7	25
8	25
9	25
10	25
11	25
12	25
13	25
14	25
15	25
16	25
17	25
18	25
19	25
20	26
21	26
22	26
23	27
24	32
25	32
26	32
27	33
28	33
29	33
30	34
31	34
32	34
33	34
34	34
35	34
36	34
37	34
38	34
39	35
40	35
41	35
42	35
43	35
44	35
45	35
46	35
47	35
48	35
49	35
50	35
51	35
52	35
53	35
54	35
55	35
56	35
57	35
58	35
59	35
60	35
61	35
62	35
63	36
64	36
65	38
66	38
67	38
68	38
69	38
70	38
71	38
72	38
73	38
74	38
75	38
76	38
77	38
78	38
79	38
80	38
81	38
82	38
83	38
84	38
85	38
86	38
87	38
88	39
89	39
90	39
91	39
92	39
93	39
94	39
95	41
96	41
97	41
98	41
99	41
100	41
101	41
102	41
103	41
104	40
105	40
106	40
107	39
108	39
109	39
110	39
111	39
112	39
113	39
114	39
115	40
116	40
117	40
118	40
119	40
120	40
121	40
122	40
123	40
124	40
125	40
126	40
127	40
128	40
129	40
130	40
131	40
132	40
133	40
134	40
135	40
136	40
137	40
138	40
139	40
140	40
141	40
142	40
143	40
144	40
145	40
146	40
147	40
148	40
149	40
150	40
151	40
152	40
153	40
154	40
155	40
156	41
157	41
158	41
159	41
160	41
161	41
162	41
163	41
164	41
165	41
166	41
167	41
168	41
169	41
170	41
171	41
172	41
173	41
174	41
175	41
176	41
177	41
178	41
179	41
180	41
181	41
182	41
183	41
184	41
185	41
186	41
187	41
188	41
189	41
190	41
191	41
192	41
193	41
194	40
195	40
196	40
197	40
198	40
199	40
200	40
201	40
202	40
203	40
204	40
205	40
206	40
207	40
208	40
209	39
210	38
211	38
212	38
213	38
214	38
215	38
216	38
217	38
218	38
219	38
220	38
221	38
222	38
223	38
224	38
225	38
226	38
227	38
228	38
229	38
230	38
231	38
232	38
233	38
234	38
235	38
236	38
237	38
238	38
239	38
240	38
241	38
242	38
243	38
244	38
245	38
246	38
247	38
248	38
249	38
250	38
251	38
252	38
253	38
254	38
255	38
256	38
257	38
258	38
259	38
260	38
261	38
262	38
263	38
264	38
265	38
266	38
267	38
268	38
269	38
270	38
271	38
272	38
273	38
274	38
275	38
276	38
277	38
278	38
279	38
280	38
281	38
282	38
283	38
284	38
285	38
286	38
287	38
288	38
289	38
290	38
291	40
292	40
293	41
294	41
295	41
296	41
297	41
298	41
299	41
300	41
301	41
302	41
303	41
304	41
305	41
306	41
307	41
308	41
309	41
310	41
311	41
312	41
313	41
314	41
315	41
316	41
317	41
318	42
319	42
320	42
321	42
322	42
323	42
324	42
325	42
326	42
327	42
328	42
329	42
330	42
331	42
332	42
333	42
334	42
335	42
336	42
337	42
338	42
339	42
340	42
341	42
342	42
343	42
344	42
345	42
346	42
347	42
348	41
349	41
350	41
351	41
352	41
353	41
354	40
355	40
356	40
357	40
358	40
359	40
360	40
361	40
362	40
363	40
364	40
365	40
366	40
367	40
368	40
369	40
370	40
371	40
372	40
373	40
374	40
375	40
376	40
377	40
378	40
379	40
380	40
381	40
382	40
383	40
384	40
385	40
386	40
387	40
388	40
389	40
390	41
391	41
392	41
393	41
394	41
395	41
396	41
397	41
398	41
399	41
400	41
401	41
402	41
403	41
404	41
405	41
406	41
407	41
408	41
409	41
410	41
411	41
412	41
413	41
414	41
415	41
416	41
417	41
418	41
419	41
420	41
421	40
422	40
423	40
424	40
425	40
426	40
427	40
428	40
429	40
430	40
431	40
432	40
433	40
434	40
435	40
436	40
437	40
438	40
439	40
440	40
441	40
442	41
443	42
444	42
445	42
446	42
447	42
448	42
449	42
450	42
451	42
452	42
453	42
454	42
455	42
456	42
457	42
458	42
459	42
460	42
461	42
462	42
463	42
464	42
465	42
466	42
467	42
468	42
469	43
470	43
471	43
472	43
473	43
474	43
475	43
476	43
477	43
478	43
479	43
480	43
481	43
482	43
483	43
484	43
485	43
486	43
487	43
488	43
489	43
490	43
491	43
492	43
493	43
494	43
495	43
496	43
497	43
498	43
499	43
500	43
501	43
502	43
503	43
504	43
505	43
506	43
507	43
508	43
509	43
510	43
511	43
512	43
513	43
514	43
515	43
516	43
517	43
518	43
519	43
520	43
521	43
522	43
523	41
524	41
525	41
526	41
527	41
528	41
529	41
530	41
531	41
532	41
533	41
534	41
535	41
536	41
537	41
538	41
539	41
540	41
541	41
542	41
543	41
544	41
545	41
546	41
547	41
548	41
549	41
550	41
551	41
552	41
553	41
554	41
555	41
556	41
557	41
558	41
559	41
560	41
561	41
562	41
563	41
564	41
565	41
566	41
567	41
568	41
569	41
570	41
571	41
572	41
573	41
574	41
575	41
576	41
577	41
578	41
579	41
580	41
581	41
582	41
583	41
584	42
585	42
586	42
587	42
588	42
589	42
590	42
591	42
592	42
593	42
594	42
595	42
596	42
597	42
598	42
599	42
600	42
601	42
602	42
603	42
604	42
605	42
606	42
607	42
608	42
609	42
610	42
611	42
612	42
613	42
614	42
615	42
616	42
617	42
618	42
619	42
620	42
621	42
622	42
623	42
624	42
625	42
626	42
627	41
628	41
629	41
630	41
631	41
632	41
633	41
634	41
635	41
636	41
637	41
638	41
639	41
640	41
641	41
642	41
643	41
644	41
645	41
646	41
647	41
648	41
649	41
650	41
651	41
652	42
653	42
654	42
655	42
656	42
657	42
658	42
659	42
660	42
661	42
662	42
663	42
664	42
665	42
666	41
667	41
668	40
669	40
670	39
671	39
672	39
673	39
674	39
675	39
676	39
677	39
678	39
679	39
680	39
681	39
682	39
683	39
684	39
685	39
686	39
687	39
688	39
689	39
690	39
691	39
692	39
693	39
694	39
695	39
696	39
697	39
698	39
699	39
700	39
701	39
702	39
703	39
704	39
705	39
706	39
707	39
708	39
709	39
710	39
711	39
712	39
713	39
714	39
715	39
716	39
717	39
718	39
719	39
720	39
721	39
722	39
723	39
724	39
725	39
726	39
727	39
728	39
729	39
730	39
731	39
732	39
733	39
734	39
735	39
736	39
737	39
738	38
739	38
740	38
741	38
742	38
743	38
744	38
745	38
746	39
747	39
748	39
749	39
750	39
751	39
752	39
753	39
754	39
755	39
756	39
757	39
758	39
759	39
760	39
761	39
762	39
763	39
764	39
765	39
766	39
767	39
768	39
769	40
770	40
771	40
772	40
773	40
774	40
775	40
776	40
777	40
778	40
779	40
780	40
781	40
782	40
783	40
784	40
785	40
786	40
787	40
788	40
789	40
790	40
791	40
792	40
793	40
794	40
795	40
796	40
797	40
798	40
799	40
800	39
