species	order	scaffold	gz	BUSCO	hsp	hspl	id	TE	Sines	Lines	LTR	DNA
Ornitorhyncus_anatinus	Monotremata	322	1.859	0.83	365	100.592	0.877	0.3976	0.172	0.223	0	0.003
Monodelphis_domestica	Marsupialia	5016	3.598	0.88	1083	730.641	0.82	0.2651	0.081	0.165	0.009	0.01
Sarcophilus_harrisii	Marsupialia	105	3.087	0.92	3886	1950.836	0.843	0.2495	0.072	0.162	0.004	0.011
Vombatus_ursinus_	Marsupialia	14515	3.487	0.93	112	74.057	0.851	0.3097	0.105	0.186	0.002	0.016
Gymnobelideus_leadbeateri	Marsupialia	12502	3.469	0.9	76	46.369	0.832	0.2656	0.099	0.151	0.002	0.013
Echinops_telfairi	Afrotheria	7490	2.947	0.9	359	150.262	0.781	0.0913	0.009	0.056	0.016	0.011
Trichechus_manatus	Afrotheria	6323	3.104	0.94	43	61.161	0.813	0.2597	0.026	0.155	0.054	0.025
Loxodonta_africana	Afrotheria	2352	3.197	0.93	215	248.818	0.831	0.2788	0.024	0.181	0.05	0.023
Elephantulus_edwardii	Afrotheria	8768	3.844	0.95	669	293.653	0.832	0.0967	0.007	0.076	0.009	0.006
Dasypus_novemcinctus	Xenarthra	46559	3.632	0.88	213	118.947	0.857	0.2935	0.02	0.203	0.049	0.021
Oryctolagus_cuniculus	Lagomorpha	3241	2.737	0.89	182	98.395	0.799	0.1828	0.014	0.119	0.029	0.02
Ochotona_princeps	Lagomorpha	9350	2.231	0.91	151	68.754	0.819	0.0967	0.009	0.06	0.015	0.013
Mus_musculus	Rodentia	61	2.273	0.97	163	56.107	0.828	0.3914	0.067	0.196	0.118	0.009
Rattus_norvegicus	Rodentia	955	2.87	0.95	188	76.298	0.832	0.126	0.007	0.102	0.011	0.006
Microtus_ochrogaster	Rodentia	6335	2.287	0.95	218	108.67	0.843	0.0842	0.012	0.053	0.012	0.007
Heterocephalus_glaber	Rodentia	4229	2.618	0.95	171	62.811	0.836	0.2134	0.019	0.136	0.038	0.021
Sciurus_vulgaris	Rodentia	639	2.879	0.97	276	104.549	0.802	0.2679	0.02	0.185	0.041	0.023
Tupaia_chinensis	Scandentia	50750	2.847	0.94	381	171.52	0.804	0.1803	0.019	0.105	0.034	0.023
Homo_sapiens	Primates	639	3.272	0.96	846	548.5	0.809	0.4463	0.124	0.201	0.087	0.034
Pan_troglodytes	Primates	4346	3.05	0.96	819	679.777	0.814	0.4508	0.124	0.205	0.088	0.035
Macaca_fascicularis	Primates	7601	2.947	0.95	803	602.454	0.804	0.4472	0.129	0.199	0.084	0.034
Saimiri_boliviensis	Primates	2686	2.609	0.94	547	333.709	0.798	0.417	0.126	0.183	0.075	0.034
Microcebus_murinus	Primates	7678	2.487	0.96	76	24.992	0.797	0.3593	0.08	0.182	0.056	0.041
Otolemur_garnettii	Primates	7793	2.52	0.96	77	46.58	0.804	0.3138	0.086	0.153	0.044	0.031
Erinaceus_europaeus	Eulipotyphla	5803	2.716	0.94	161	51.285	0.858	0.0935	0.008	0.072	0.009	0.006
Condylura_cristata	Eulipotyphla	2040	1.77	0.89	175	36.295	0.853	0.161	0.019	0.1	0.024	0.018
Sorex_araneus	Eulipotyphla	12845	2.423	0.92	81	15.066	0.822	0.097	0.007	0.073	0.009	0.007
Manis_javanica	Pholidota	17969	2.439	0.93	648	319.312	0.838	0.315	0.027	0.211	0.05	0.028
Mustela_putorius	Carnivora	7783	2.411	0.95	85	39.608	0.793	0.2594	0.026	0.166	0.042	0.026
Canis_familiaris	Carnivora	3268	2.411	0.95	330	128.623	0.841	0.279	0.027	0.18	0.044	0.028
Zalophus_californianus	Carnivora	47	2.41	0.96	121	75.935	0.801	0.3234	0.031	0.214	0.048	0.031
Hyaena_hyaena	Carnivora	5760	2.375	0.96	442	141.358	0.858	0.2769	0.028	0.178	0.044	0.028
Felis_catus	Carnivora	4508	2.522	0.96	446	209.964	0.867	0.2848	0.028	0.183	0.045	0.028
Rhinolophus_ferrumequinum	Chiroptera	50	2.075	0.96	249	164.736	0.844	0.3204	0.037	0.194	0.051	0.038
Rousettus_aegyptiacus	Chiroptera	29	1.894	0.96	111	84.131	0.796	0.3033	0.035	0.182	0.05	0.037
Phyllostomus_discolor	Chiroptera	41	2.095	0.96	128	67.646	0.81	0.2731	0.031	0.174	0.039	0.029
Mollosus_mollosus	Chiroptera	60	2.319	0.96	101	42.277	0.81	0.2892	0.029	0.198	0.037	0.025
Myotis_myotis	Chiroptera	92	2.003	0.96	80	19.403	0.791	0.2297	0.031	0.139	0.034	0.026
Pipistrellus_kuhlii	Chiroptera	202	1.776	0.96	89	16.944	0.867	0.1976	0.03	0.114	0.03	0.025
Ceratotherium_simum	Perrisodactyla	3087	2.464	0.96	287	124.441	0.842	0.3587	0.039	0.214	0.067	0.039
Equus_caballus	Perrisodactyla	4701	2.507	0.96	263	116.895	0.844	0.3632	0.037	0.223	0.066	0.038
Orcinus_orca	Cetartiodactyla	1668	2.373	0.95	600	687.881	0.781	0.326	0.032	0.21	0.051	0.033
Bos_taurus	Cetartiodactyla	2211	2.716	0.96	440	210.313	0.79	0.2136	0.022	0.135	0.034	0.023
Sus_scrofa	Cetartiodactyla	612	2.502	0.96	658	239.881	0.797	0.2688	0.026	0.18	0.039	0.024
Camelus_ferus	Cetartiodactyla	2042	2.087	0.96	318	134.021	0.78	0.2998	0.034	0.181	0.051	0.033
