mito	coverage
1	0
2	8
3	8
4	10
5	10
6	10
7	10
8	10
9	10
10	10
11	10
12	10
13	10
14	10
15	10
16	10
17	10
18	10
19	10
20	10
21	10
22	10
23	10
24	10
25	10
26	11
27	11
28	11
29	11
30	11
31	11
32	11
33	11
34	11
35	11
36	11
37	11
38	11
39	11
40	11
41	11
42	11
43	11
44	11
45	11
46	11
47	11
48	11
49	11
50	11
51	11
52	12
53	12
54	12
55	12
56	12
57	12
58	12
59	12
60	12
61	12
62	12
63	12
64	12
65	12
66	12
67	12
68	12
69	12
70	12
71	12
72	13
73	13
74	13
75	13
76	13
77	13
78	13
79	13
80	13
81	13
82	13
83	13
84	13
85	13
86	13
87	13
88	13
89	13
90	13
91	13
92	13
93	13
94	13
95	13
96	13
97	13
98	13
99	13
100	13
101	13
102	13
103	13
104	13
105	13
106	13
107	13
108	13
109	13
110	13
111	13
112	13
113	13
114	13
115	13
116	13
117	13
118	13
119	13
120	13
121	13
122	12
123	12
124	12
125	12
126	12
127	11
128	11
129	11
130	11
131	11
132	11
133	11
134	11
135	11
136	11
137	11
138	11
139	11
140	11
141	11
142	11
143	11
144	11
145	11
146	9
147	9
148	9
149	9
150	9
151	9
152	9
153	9
154	9
155	9
156	9
157	9
158	9
159	9
160	9
161	9
162	9
163	9
164	9
165	9
166	9
167	9
168	9
169	9
170	9
171	9
172	9
173	9
174	9
175	9
176	9
177	9
178	9
179	9
180	9
181	9
182	9
183	9
184	9
185	9
186	9
187	9
188	9
189	9
190	8
191	8
192	8
193	8
194	8
195	8
196	8
197	8
198	8
199	8
200	8
201	8
202	8
203	8
204	8
205	8
206	8
207	8
208	8
209	8
210	8
211	8
212	8
213	8
214	8
215	8
216	8
217	8
218	8
219	8
220	8
221	8
222	8
223	8
224	8
225	8
226	8
227	8
228	8
229	8
230	8
231	8
232	8
233	8
234	8
235	8
236	8
237	8
238	8
239	8
240	8
241	8
242	8
243	8
244	8
245	8
246	8
247	8
248	8
249	8
250	8
251	8
252	8
253	8
254	8
255	8
256	8
257	8
258	8
259	8
260	8
261	8
262	8
263	8
264	8
265	8
266	8
267	8
268	9
269	9
270	9
271	9
272	9
273	9
274	9
275	9
276	9
277	9
278	9
279	9
280	9
281	9
282	9
283	9
284	9
285	9
286	9
287	9
288	9
289	9
290	9
291	9
292	9
293	9
294	9
295	9
296	9
297	9
298	9
299	9
300	9
301	9
302	9
303	9
304	9
305	9
306	9
307	9
308	9
309	9
310	9
311	9
312	9
313	9
314	9
315	9
316	9
317	9
318	9
319	9
320	9
321	9
322	9
323	9
324	9
325	9
326	9
327	9
328	9
329	9
330	9
331	9
332	9
333	9
334	9
335	9
336	9
337	9
338	9
339	9
340	9
341	9
342	9
343	9
344	9
345	9
346	9
347	9
348	9
349	9
350	9
351	9
352	9
353	9
354	9
355	9
356	9
357	9
358	9
359	9
360	9
361	9
362	9
363	9
364	9
365	9
366	9
367	9
368	9
369	9
370	9
371	9
372	8
373	8
374	8
375	8
376	8
377	8
378	8
379	8
380	8
381	8
382	8
383	8
384	8
385	8
386	8
387	8
388	8
389	8
390	8
391	8
392	8
393	8
394	8
395	8
396	8
397	8
398	8
399	8
400	8
401	8
402	8
403	8
404	8
405	8
406	8
407	8
408	8
409	8
410	8
411	6
412	6
413	6
414	6
415	6
416	6
417	6
418	6
419	6
420	6
421	6
422	6
423	6
424	6
425	6
426	6
427	6
428	6
429	6
430	6
431	6
432	6
433	6
434	6
435	6
436	6
437	6
438	6
439	6
440	6
441	6
442	6
443	6
444	6
445	6
446	6
447	6
448	6
449	6
450	6
451	6
452	6
453	6
454	9
455	9
456	10
457	10
458	10
459	10
460	10
461	10
462	11
463	11
464	11
465	11
466	13
467	14
468	15
469	15
470	16
471	16
472	18
473	18
474	18
475	19
476	19
477	19
478	19
479	19
480	20
481	20
482	20
483	20
484	20
485	20
486	20
487	21
488	21
489	21
490	21
491	21
492	21
493	21
494	21
495	21
496	21
497	21
498	21
499	21
500	21
501	21
502	21
503	21
504	21
505	21
506	20
507	20
508	20
509	20
510	20
511	20
512	20
513	20
514	20
515	20
516	20
517	20
518	20
519	20
520	21
521	21
522	21
523	20
524	20
525	20
526	20
527	20
528	20
529	20
530	20
531	20
532	20
533	20
534	20
535	20
536	20
537	20
538	20
539	21
540	21
541	22
542	22
543	22
544	22
545	22
546	22
547	22
548	22
549	22
550	22
551	22
552	22
553	22
554	22
555	22
556	22
557	22
558	22
559	22
560	22
561	22
562	22
563	22
564	21
565	21
566	21
567	21
568	21
569	21
570	21
571	21
572	21
573	22
574	22
575	22
576	22
577	22
578	22
579	22
580	22
581	22
582	22
583	22
584	22
585	22
586	22
587	22
588	23
589	23
590	23
591	23
592	23
593	23
594	22
595	22
596	22
597	21
598	21
599	21
600	21
601	21
602	21
603	21
604	22
605	22
606	22
607	22
608	23
609	23
610	23
611	23
612	23
613	23
614	23
615	23
616	22
617	22
618	22
619	22
620	22
621	22
622	22
623	22
624	22
625	22
626	22
627	22
628	22
629	22
630	22
631	22
632	22
633	22
634	22
635	22
636	21
637	21
638	21
639	21
640	21
641	21
642	21
643	21
644	21
645	21
646	21
647	21
648	21
649	21
650	21
651	21
652	21
653	21
654	21
655	21
656	21
657	21
658	21
659	21
660	21
661	20
662	20
663	20
664	20
665	20
666	20
667	20
668	20
669	20
670	20
671	20
672	20
673	20
674	20
675	19
676	19
677	19
678	19
679	19
680	19
681	19
682	19
683	19
684	20
685	20
686	20
687	19
688	19
689	19
690	19
