mito	coverage
1	0
2	20
3	21
4	22
5	22
6	23
7	23
8	23
9	23
10	23
11	23
12	23
13	23
14	23
15	23
16	23
17	23
18	23
19	23
20	23
21	24
22	24
23	24
24	38
25	48
26	49
27	50
28	50
29	50
30	50
31	50
32	50
33	50
34	51
35	51
36	51
37	51
38	51
39	51
40	51
41	51
42	51
43	51
44	51
45	51
46	51
47	51
48	52
49	52
50	52
51	52
52	52
53	52
54	52
55	52
56	52
57	52
58	51
59	51
60	51
61	51
62	51
63	51
64	51
65	52
66	52
67	52
68	52
69	52
70	52
71	52
72	52
73	52
74	52
75	52
76	52
77	53
78	53
79	53
80	53
81	53
82	53
83	53
84	53
85	53
86	53
87	54
88	54
89	54
90	54
91	54
92	55
93	55
94	55
95	55
96	55
97	54
98	54
99	54
100	54
101	54
102	54
103	54
104	54
105	54
106	54
107	54
108	53
109	53
110	53
111	53
112	53
113	53
114	53
115	53
116	53
117	53
118	53
119	53
120	53
121	53
122	53
123	53
124	53
125	53
126	53
127	53
128	53
129	52
130	52
131	51
132	50
133	50
134	50
135	50
136	50
137	50
138	50
139	50
140	50
141	50
142	50
143	50
144	49
145	49
146	49
147	49
148	49
149	50
150	50
151	50
152	50
153	50
154	51
155	52
156	52
157	53
158	53
159	53
160	53
161	53
162	53
163	53
164	53
165	53
166	53
167	53
168	53
169	53
170	54
171	54
172	54
173	54
174	54
175	54
176	54
177	54
178	54
179	54
180	54
181	54
182	54
183	54
184	54
185	54
186	54
187	54
188	54
189	54
190	54
191	54
192	54
193	54
194	54
195	54
196	54
197	54
198	55
199	55
200	55
201	55
202	55
203	55
204	55
205	55
206	55
207	55
208	55
209	55
210	55
211	55
212	55
213	55
214	55
215	55
216	54
217	54
218	54
219	54
220	54
221	55
222	55
223	55
224	55
225	54
226	54
227	54
228	54
229	54
230	54
231	54
232	54
233	54
234	54
235	54
236	54
237	54
238	54
239	54
240	54
241	55
242	55
243	55
244	55
245	55
246	55
247	54
248	54
249	54
250	54
251	54
252	54
253	54
254	54
255	54
256	54
257	55
258	55
259	55
260	55
261	55
262	55
263	55
264	55
265	55
266	55
267	55
268	55
269	55
270	55
271	55
272	55
273	54
274	54
275	54
276	54
277	54
278	54
279	54
280	54
281	54
282	54
283	54
284	53
285	53
286	53
287	53
288	53
289	53
290	53
291	53
292	53
293	54
294	54
295	54
296	54
297	54
298	54
299	54
300	54
301	54
302	54
303	54
304	54
305	54
306	54
307	54
308	53
309	53
310	53
311	53
312	53
313	53
314	53
315	53
316	53
317	53
318	53
319	53
320	53
321	53
322	53
323	53
324	52
325	52
326	52
327	52
328	52
329	52
330	52
331	53
332	53
333	53
334	53
335	53
336	53
337	53
338	53
339	53
340	53
341	53
342	53
343	54
344	54
345	53
346	53
347	53
348	53
349	53
350	52
351	52
352	52
353	52
354	52
355	54
356	54
357	54
358	54
359	54
360	54
361	54
362	54
363	54
364	54
365	54
366	54
367	54
368	54
369	54
370	54
371	54
372	55
373	55
374	55
375	55
376	55
377	55
378	55
379	54
380	54
381	54
382	54
383	54
384	54
385	55
386	55
387	55
388	55
389	55
390	55
391	55
392	55
393	55
394	55
395	54
396	54
397	54
398	54
399	54
400	54
401	54
402	54
403	54
404	54
405	54
406	53
407	53
408	54
409	54
410	54
411	54
412	54
413	54
414	54
415	53
416	53
417	53
