mito	coverage
1	0
2	6
3	7
4	9
5	9
6	10
7	10
8	10
9	13
10	13
11	14
12	15
13	15
14	16
15	16
16	16
17	16
18	17
19	17
20	20
21	20
22	21
23	22
24	23
25	23
26	24
27	25
28	25
29	25
30	27
31	28
32	28
33	29
34	30
35	30
36	30
37	31
38	32
39	32
40	32
41	32
42	35
43	37
44	37
45	38
46	42
47	43
48	43
49	43
50	43
51	43
52	43
53	43
54	43
55	44
56	45
57	46
58	47
59	48
60	48
61	49
62	50
63	50
64	51
65	51
66	52
67	55
68	55
69	55
70	56
71	56
72	57
73	58
74	58
75	58
76	58
77	59
78	59
79	60
80	61
81	61
82	62
83	62
84	64
85	65
86	65
87	66
88	66
89	67
90	68
91	69
92	69
93	70
94	70
95	71
96	72
97	72
98	72
99	72
100	74
101	74
102	75
103	75
104	76
105	76
106	76
107	77
108	81
109	82
110	83
111	83
112	83
113	84
114	84
115	84
116	86
117	86
118	88
119	89
120	89
121	90
122	92
123	95
124	95
125	95
126	95
127	97
128	98
129	98
130	98
131	98
132	98
133	98
134	99
135	99
136	99
137	99
138	100
139	101
140	101
141	101
142	103
143	103
144	103
145	103
146	103
147	103
148	103
149	103
150	103
151	103
152	103
153	103
154	103
155	103
156	103
157	103
158	103
159	103
160	103
161	103
162	102
163	102
164	102
165	102
166	102
167	102
168	102
169	102
170	102
171	102
172	102
173	103
174	103
175	103
176	103
177	104
178	104
179	105
180	106
181	108
182	107
183	122
184	122
185	122
186	122
187	122
188	123
189	123
190	123
191	123
192	123
193	123
194	122
195	121
196	120
197	120
198	120
199	125
200	125
201	125
202	125
203	125
204	125
205	124
206	124
207	124
208	124
209	124
210	124
211	124
212	124
213	124
214	124
215	125
216	125
217	127
218	127
219	128
220	128
221	128
222	129
223	129
224	129
225	129
226	129
227	130
228	131
229	131
230	131
231	131
232	131
233	131
234	133
235	133
236	134
237	134
238	134
239	135
240	135
241	135
242	134
243	134
244	134
245	134
246	134
247	134
248	134
249	135
250	134
251	134
252	134
253	134
254	134
255	134
256	134
257	134
258	134
259	133
260	133
261	132
262	132
263	132
264	132
265	132
266	131
267	131
268	131
269	131
270	127
271	127
272	127
273	127
274	127
275	127
276	127
277	124
278	124
279	124
280	124
281	124
282	124
283	124
284	122
285	122
286	122
287	121
288	119
289	117
290	117
291	117
292	117
293	117
294	117
295	117
296	116
297	115
298	114
299	114
300	114
301	114
302	114
303	114
304	114
305	114
306	114
307	114
308	112
309	109
310	103
311	98
312	98
313	98
314	98
315	98
316	98
317	98
318	98
319	97
320	97
321	97
322	97
323	97
324	95
325	86
326	86
327	86
328	86
329	86
330	86
331	86
332	86
333	85
334	84
335	84
336	77
337	77
338	77
339	77
340	77
341	73
342	73
343	73
344	73
345	73
346	72
347	72
348	70
349	69
350	69
351	68
352	68
353	68
354	68
355	68
356	70
357	70
358	70
359	71
360	71
361	71
362	71
363	71
364	71
365	71
366	71
367	71
368	71
369	71
370	71
371	71
372	71
373	71
374	72
375	72
376	72
377	72
378	72
379	72
380	72
381	72
382	72
383	72
384	71
385	71
386	71
387	71
388	71
389	71
390	71
391	71
392	71
393	71
394	71
395	71
396	70
397	70
398	70
399	70
400	70
401	70
402	70
403	70
404	70
405	70
406	70
407	70
408	70
409	71
410	71
411	71
412	71
413	71
414	71
415	71
416	71
417	71
418	72
419	72
420	72
421	72
422	72
423	72
424	72
425	72
426	72
427	72
428	72
429	72
430	74
431	74
432	74
433	74
434	74
435	74
436	74
437	74
438	74
439	74
440	74
441	74
442	74
443	74
444	74
445	74
446	74
447	74
448	74
449	75
450	75
451	75
452	75
453	75
454	80
455	80
456	80
457	80
458	80
459	82
460	82
461	82
462	83
463	83
464	83
465	84
466	88
467	92
468	98
469	103
470	110
471	110
472	111
473	111
474	111
475	112
476	112
477	112
478	112
479	116
480	116
481	116
482	116
483	116
484	116
485	116
486	116
487	116
488	116
489	142
490	145
491	145
492	145
493	145
494	145
495	146
496	146
497	148
498	148
499	148
500	148
501	148
502	148
503	149
504	149
505	149
506	149
507	149
508	149
509	149
510	149
511	150
512	150
513	150
514	150
515	148
516	148
517	148
518	148
519	148
520	148
521	148
522	147
523	147
524	147
525	148
526	144
527	144
528	144
529	141
530	139
531	129
532	129
533	129
534	128
535	123
536	121
537	114
538	112
539	109
540	98
541	98
542	98
543	97
544	97
545	106
546	108
547	109
548	109
549	109
550	109
551	110
552	109
553	109
554	109
555	109
556	109
557	109
558	109
559	109
560	109
561	109
562	109
563	109
564	109
565	109
566	109
567	111
568	111
569	136
570	152
571	155
572	158
573	158
574	158
575	158
576	157
577	159
578	160
579	161
580	161
581	162
582	162
583	164
584	164
585	162
586	163
587	163
588	164
589	164
590	164
591	164
592	163
593	163
594	164
595	164
596	163
597	163
598	163
599	163
600	163
601	163
602	163
603	163
604	163
605	163
