mito	coverage
1	0
2	13
3	13
4	13
5	13
6	13
7	13
8	13
9	13
10	13
11	13
12	13
13	13
14	13
15	13
16	13
17	13
18	13
19	13
20	15
21	15
22	16
23	16
24	16
25	16
26	17
27	17
28	17
29	17
30	17
31	17
32	17
33	18
34	20
35	20
36	20
37	20
38	20
39	20
40	20
41	20
42	20
43	20
44	20
45	20
46	20
47	20
48	20
49	20
50	20
51	20
52	20
53	20
54	20
55	20
56	20
57	20
58	20
59	20
60	20
61	20
62	21
63	21
64	20
65	20
66	20
67	21
68	21
69	21
70	21
71	21
72	20
73	20
74	20
75	19
76	19
77	19
78	19
79	19
80	19
81	19
82	19
83	19
84	20
85	20
86	20
87	20
88	20
89	20
90	20
91	20
92	20
93	19
94	19
95	19
96	18
97	18
98	18
99	18
100	18
101	18
102	18
103	18
104	18
105	19
106	19
107	19
108	19
109	19
110	19
111	19
112	19
113	19
114	19
115	19
116	19
117	19
118	19
119	19
120	19
121	19
122	19
123	19
124	19
125	19
126	19
127	19
128	19
129	19
130	19
131	19
132	18
133	18
134	19
135	19
136	19
137	19
138	19
139	19
140	19
141	19
142	19
143	19
144	19
145	19
146	19
147	19
148	19
149	19
150	19
151	19
152	19
153	19
154	19
155	19
156	19
157	19
158	19
159	19
160	19
161	18
162	18
163	18
164	18
165	18
166	18
167	18
168	18
169	18
170	18
171	18
172	18
173	18
174	18
175	18
176	18
177	18
178	18
179	18
180	18
181	18
182	18
183	18
184	18
185	18
186	18
187	18
188	18
189	18
190	18
191	18
192	18
193	18
194	18
195	18
196	18
197	18
198	18
199	18
200	18
201	18
202	18
203	18
204	18
205	18
206	18
207	18
208	18
209	18
210	19
211	19
212	18
213	18
214	18
215	18
216	18
217	18
218	18
219	18
220	19
221	19
222	19
223	19
224	19
225	19
226	19
227	19
228	19
229	19
230	20
231	20
232	21
233	21
234	21
235	21
236	21
237	21
238	21
239	21
240	21
241	21
242	21
243	21
244	21
245	21
246	21
247	21
248	21
249	21
250	21
251	21
252	21
253	21
254	21
255	21
256	21
257	20
258	20
259	20
260	20
261	20
262	20
263	20
264	20
265	20
266	20
267	20
268	20
269	20
270	20
271	20
272	20
273	20
274	20
275	20
276	20
277	20
278	20
279	20
280	19
281	19
282	19
283	19
284	19
285	19
286	19
287	19
288	19
289	19
290	19
291	19
292	19
293	19
294	18
295	18
296	18
297	18
298	19
299	19
300	19
301	20
302	20
303	20
304	20
305	20
306	20
307	20
308	20
309	20
310	20
311	20
312	20
313	20
314	20
315	20
316	21
317	21
318	20
319	20
320	20
321	20
322	20
323	20
324	20
325	20
326	20
327	20
328	20
329	20
330	20
331	20
332	20
333	20
334	20
335	20
336	20
337	20
338	20
339	20
340	20
341	20
342	20
343	20
344	20
345	21
346	21
347	21
348	21
349	21
350	21
351	21
352	21
353	21
354	21
355	21
356	21
357	21
358	21
359	21
360	21
361	21
362	21
363	21
364	21
365	21
366	21
367	21
368	21
369	21
370	21
371	21
372	21
373	21
374	21
375	21
376	21
377	21
378	21
379	21
380	21
381	21
382	21
383	21
384	21
385	21
386	21
387	22
388	22
389	22
390	25
391	25
392	25
393	25
394	25
395	25
396	25
397	25
398	25
399	25
400	25
401	25
402	25
403	25
404	24
405	24
406	24
407	24
408	23
409	22
410	22
411	22
412	22
413	22
414	22
415	23
416	23
417	23
418	23
419	23
420	23
421	23
422	23
423	23
424	24
425	24
426	24
427	24
428	24
429	24
430	24
431	24
432	24
433	24
434	24
435	24
436	24
437	24
438	24
439	24
440	24
441	24
442	24
443	23
444	23
445	23
446	23
447	23
448	22
449	22
450	22
451	22
452	22
453	22
454	22
455	22
456	23
457	23
458	23
459	23
460	23
461	23
462	23
463	22
464	22
465	22
466	22
467	22
468	22
469	22
470	23
471	24
472	24
473	24
474	24
475	24
476	24
477	24
478	25
479	25
480	25
481	25
482	25
483	25
484	25
485	25
486	25
487	25
488	25
489	25
490	25
491	25
492	25
493	25
494	25
495	26
496	26
497	26
498	26
499	26
500	26
501	26
502	26
503	26
504	26
505	26
506	26
507	25
508	25
509	25
510	25
511	25
512	25
513	25
514	25
515	25
516	25
517	26
518	26
519	26
520	26
521	26
522	26
523	26
524	26
525	24
526	24
527	24
528	24
529	24
530	24
531	24
532	24
533	24
534	24
535	24
536	24
537	25
538	25
539	25
540	25
541	25
542	25
543	25
544	25
545	25
546	25
547	25
548	25
549	25
550	25
551	23
552	23
553	23
554	23
555	23
556	23
557	23
558	23
559	24
560	24
561	24
562	24
563	24
564	24
565	24
566	24
567	23
568	23
569	22
570	22
571	22
572	22
573	22
574	22
575	22
576	22
577	22
578	22
579	22
580	23
581	23
582	23
583	23
584	23
585	23
586	23
587	23
588	23
589	23
590	23
591	23
592	23
593	23
594	23
595	23
596	23
597	23
598	23
599	22
600	22
601	22
602	22
603	22
604	21
605	21
606	20
607	20
608	20
609	20
610	21
611	21
612	21
613	21
614	21
615	21
616	21
617	22
618	22
619	23
620	23
621	23
622	23
623	23
624	23
625	23
626	23
627	24
628	24
629	24
630	24
631	24
632	24
633	24
634	24
635	24
636	24
637	24
638	24
639	24
640	24
641	24
642	24
643	24
644	24
645	24
646	24
647	24
648	24
649	24
650	24
651	24
652	24
653	24
654	24
655	24
656	24
657	24
658	26
659	26
660	27
661	27
662	27
663	27
664	27
665	27
666	28
667	29
668	29
669	29
670	29
671	29
672	29
673	29
674	29
675	29
676	29
677	29
678	29
679	29
680	29
681	29
682	29
683	29
684	29
685	29
686	29
687	29
688	29
689	29
690	29
691	29
692	29
693	29
694	30
695	30
696	30
697	30
698	30
699	30
700	30
701	31
702	31
703	31
704	31
705	31
706	31
707	31
708	31
709	30
710	30
711	30
712	29
713	29
714	29
715	28
716	28
717	29
718	29
719	29
720	29
721	29
722	29
723	30
724	31
725	31
726	31
727	31
728	31
729	31
730	31
731	31
732	31
733	30
734	30
735	30
736	30
737	30
738	30
739	30
740	30
741	30
742	30
743	31
744	31
745	31
746	31
747	31
748	31
749	31
750	31
751	31
752	31
753	30
754	30
755	30
756	30
757	30
758	30
759	30
760	30
761	30
762	30
763	30
764	29
765	29
766	29
767	29
768	29
769	28
770	28
771	28
772	28
773	28
774	28
775	28
776	27
777	27
778	26
779	26
780	26
781	26
782	26
783	26
784	27
785	27
786	27
787	27
788	27
789	27
790	27
791	27
792	27
793	27
794	27
795	27
796	27
797	26
798	26
799	26
800	24
801	24
802	24
803	24
804	24
805	24
806	24
807	24
808	24
809	24
810	24
811	24
812	24
813	24
814	24
815	24
816	24
817	24
818	24
819	24
820	24
821	24
822	24
823	24
824	24
825	24
826	24
827	24
828	24
829	24
830	24
831	24
832	24
833	24
834	24
835	24
836	24
837	24
838	24
839	26
840	26
841	26
842	26
843	26
844	26
845	26
846	26
847	26
848	26
849	26
850	26
851	26
852	26
853	26
854	26
855	26
856	26
857	26
858	26
859	26
860	26
861	26
862	26
863	26
864	26
865	26
866	26
867	26
868	26
869	26
870	26
871	26
872	26
873	26
874	26
875	26
876	26
877	26
878	26
879	26
880	26
881	26
882	26
883	26
884	26
885	26
886	26
887	26
888	26
889	26
890	26
891	26
892	26
893	26
894	26
895	26
896	26
897	26
898	26
899	26
900	26
901	25
902	25
903	25
904	25
905	25
906	25
907	25
908	25
909	25
910	25
911	25
912	25
913	25
914	25
915	26
916	26
917	26
918	26
919	26
920	26
921	26
922	26
923	26
924	26
925	26
926	26
927	26
928	26
929	25
930	23
931	23
932	23
933	23
934	23
935	23
936	23
937	23
938	23
939	23
940	23
941	23
942	23
943	23
944	23
945	23
946	23
947	23
948	22
949	22
950	22
951	22
952	22
953	22
954	22
955	22
956	22
957	22
958	22
959	22
960	22
961	22
962	21
963	21
964	21
965	21
966	21
967	24
968	24
969	24
970	25
971	25
972	25
973	25
974	25
975	25
976	26
977	26
978	26
979	27
980	27
981	27
982	27
983	27
984	27
985	27
986	27
987	27
988	27
989	27
990	27
991	27
992	27
993	27
994	27
995	27
996	27
997	27
998	27
999	27
1000	27
1001	27
1002	27
1003	27
1004	27
1005	27
1006	27
1007	27
1008	26
1009	26
1010	26
1011	26
1012	26
1013	26
1014	26
1015	26
1016	26
1017	26
1018	26
1019	26
1020	26
1021	26
1022	26
1023	26
1024	26
1025	26
1026	26
1027	26
1028	25
1029	25
1030	25
1031	25
1032	25
1033	25
1034	25
1035	25
1036	25
1037	25
1038	25
1039	25
1040	25
1041	25
1042	25
1043	25
1044	25
1045	24
1046	24
1047	24
1048	24
1049	23
1050	23
1051	23
1052	23
1053	23
1054	23
1055	22
1056	21
1057	21
1058	21
1059	21
1060	20
1061	20
1062	20
1063	20
1064	20
1065	20
1066	20
1067	20
1068	20
1069	20
1070	20
1071	19
1072	18
1073	18
1074	18
1075	18
1076	18
1077	18
1078	18
1079	18
1080	18
1081	18
1082	18
1083	18
1084	18
1085	18
1086	17
1087	17
1088	17
1089	16
1090	16
1091	16
1092	16
1093	16
1094	16
1095	16
1096	16
1097	16
1098	16
1099	16
1100	15
1101	15
1102	15
1103	15
1104	14
1105	13
1106	13
1107	13
1108	13
1109	12
1110	12
1111	12
1112	12
1113	12
1114	12
1115	12
1116	12
1117	12
1118	12
1119	12
1120	12
1121	12
1122	12
1123	12
1124	12
1125	12
1126	11
1127	11
1128	12
1129	12
1130	12
1131	12
1132	12
1133	12
1134	12
1135	13
1136	13
1137	13
1138	13
1139	13
1140	13
1141	14
1142	14
1143	14
1144	14
1145	14
1146	14
1147	14
1148	14
1149	14
1150	14
1151	14
1152	15
1153	15
1154	15
1155	15
1156	15
1157	15
1158	15
1159	15
1160	17
1161	17
1162	17
1163	18
1164	17
1165	17
1166	17
1167	17
1168	17
1169	17
1170	17
1171	17
1172	17
1173	17
1174	17
1175	17
1176	17
1177	17
1178	17
1179	17
1180	17
1181	17
1182	17
1183	17
1184	17
1185	17
1186	16
1187	16
1188	16
1189	16
1190	16
1191	18
1192	18
1193	18
1194	18
1195	18
1196	18
1197	18
1198	18
1199	19
1200	19
1201	20
1202	20
1203	20
1204	19
1205	19
1206	19
1207	19
1208	19
1209	19
1210	19
1211	19
1212	19
1213	19
1214	19
1215	19
1216	19
1217	19
1218	19
1219	19
1220	19
1221	19
1222	19
1223	19
1224	19
1225	19
1226	19
1227	19
1228	19
1229	19
1230	19
1231	19
1232	19
1233	19
1234	19
1235	19
1236	19
1237	19
1238	19
1239	19
1240	19
1241	19
1242	19
1243	19
1244	19
1245	19
1246	19
1247	19
1248	19
1249	19
1250	19
1251	19
1252	19
1253	19
1254	19
1255	19
1256	19
1257	19
1258	19
1259	19
1260	19
1261	19
1262	19
1263	19
1264	19
1265	19
1266	20
1267	21
1268	21
1269	21
1270	21
1271	21
1272	21
1273	21
1274	21
1275	21
1276	22
1277	22
1278	22
1279	22
1280	22
1281	22
1282	22
1283	22
1284	22
1285	22
1286	23
1287	23
1288	23
1289	22
1290	22
1291	21
1292	21
1293	21
1294	21
1295	21
1296	21
1297	21
1298	21
1299	21
1300	21
1301	21
1302	21
1303	21
1304	21
1305	20
1306	20
1307	20
1308	20
1309	20
1310	20
1311	20
1312	20
1313	20
1314	20
1315	22
1316	22
1317	22
1318	22
1319	22
1320	22
1321	22
1322	22
1323	22
1324	22
1325	22
1326	22
1327	22
1328	22
1329	22
1330	22
1331	22
1332	22
1333	22
1334	22
1335	22
1336	22
1337	23
1338	23
1339	23
1340	23
1341	23
1342	23
1343	23
1344	23
1345	23
1346	23
1347	23
1348	23
1349	23
1350	23
1351	23
1352	23
1353	23
1354	23
1355	23
1356	24
1357	24
1358	24
1359	24
1360	24
1361	24
1362	24
1363	24
1364	24
1365	24
1366	24
1367	24
1368	24
1369	24
1370	24
1371	24
1372	24
1373	24
1374	24
1375	24
1376	24
1377	24
1378	24
1379	23
1380	23
1381	23
1382	23
1383	23
1384	24
1385	24
1386	24
1387	24
1388	24
1389	24
1390	24
1391	24
1392	24
1393	24
1394	24
1395	24
1396	24
1397	24
1398	24
1399	24
1400	24
1401	24
1402	24
1403	24
1404	24
1405	24
1406	24
1407	24
1408	24
1409	24
1410	24
1411	24
1412	24
1413	24
1414	23
1415	22
1416	22
1417	22
1418	22
1419	21
1420	21
1421	21
1422	21
1423	21
1424	21
1425	21
1426	21
1427	20
1428	20
1429	20
1430	20
1431	20
1432	20
1433	20
1434	20
1435	20
1436	20
1437	20
1438	20
1439	20
1440	20
1441	20
1442	20
1443	20
1444	20
1445	20
1446	20
1447	20
1448	20
1449	20
1450	20
1451	20
1452	20
1453	19
1454	19
1455	19
1456	19
1457	19
1458	19
1459	19
1460	19
1461	19
1462	17
1463	17
1464	17
1465	17
1466	17
1467	17
1468	17
1469	17
1470	17
1471	17
1472	17
1473	16
1474	16
1475	16
1476	16
1477	16
1478	16
1479	16
1480	16
1481	16
1482	16
1483	16
1484	16
1485	16
1486	16
1487	16
1488	16
1489	16
1490	16
1491	16
1492	17
1493	17
1494	17
1495	17
1496	17
1497	17
1498	17
1499	17
1500	17
1501	17
1502	17
1503	17
1504	17
1505	17
1506	17
1507	17
1508	17
1509	17
