mito	coverage
1	0
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
12	2
13	2
14	2
15	2
16	2
17	2
18	2
19	2
20	2
21	2
22	2
23	2
24	2
25	2
26	2
27	2
28	2
29	2
30	2
31	2
32	2
33	2
34	2
35	2
36	2
37	2
38	2
39	2
40	2
41	2
42	2
43	2
44	2
45	2
46	2
47	2
48	2
49	2
50	2
51	2
52	2
53	2
54	2
55	2
56	2
57	2
58	2
59	2
60	2
61	2
62	2
63	3
64	3
65	3
66	3
67	3
68	3
69	3
70	3
71	3
72	3
73	3
74	3
75	3
76	3
77	3
78	3
79	3
80	3
81	3
82	3
83	3
84	3
85	3
86	3
87	3
88	3
89	3
90	3
91	3
92	3
93	3
94	3
95	3
96	3
97	3
98	3
99	3
100	3
101	3
102	3
103	3
104	3
105	3
106	3
107	3
108	3
109	3
110	3
111	3
112	3
113	3
114	4
115	4
116	4
117	4
118	4
119	4
120	4
121	4
122	4
123	4
124	4
125	4
126	4
127	4
128	4
129	4
130	4
131	4
132	4
133	4
134	4
135	4
136	4
137	4
138	4
139	4
140	4
141	4
142	4
143	4
144	4
145	4
146	4
147	4
148	4
149	4
150	4
151	4
152	4
153	4
154	4
155	4
156	4
157	4
158	4
159	4
160	4
161	4
162	4
163	4
164	4
165	4
166	4
167	4
168	4
169	4
170	4
171	4
172	4
173	4
174	4
175	4
176	4
177	4
178	4
179	3
180	3
181	3
182	3
183	3
184	3
185	3
186	3
187	3
188	3
189	3
190	3
191	3
192	3
193	3
194	3
195	3
196	3
197	3
198	3
199	3
200	3
201	3
202	3
203	4
204	4
205	4
206	4
207	4
208	4
209	4
210	4
211	4
212	4
213	4
214	4
215	4
216	4
217	4
218	4
219	4
220	4
221	4
222	4
223	4
224	4
225	4
226	4
227	4
228	4
229	4
230	4
231	4
232	4
233	4
234	4
235	4
236	4
237	4
238	4
239	5
240	5
241	5
242	5
243	5
244	5
245	5
246	5
247	5
248	5
249	5
250	5
251	5
252	5
253	5
254	5
255	5
256	5
257	5
258	5
259	5
260	5
261	5
262	5
263	5
264	5
265	5
266	5
267	5
268	5
269	5
270	5
271	5
272	5
273	5
274	5
275	5
276	5
277	5
278	5
279	5
280	5
281	5
282	5
283	5
284	5
285	5
286	5
287	5
288	5
289	5
290	5
291	5
292	5
293	5
294	5
295	5
296	6
297	6
298	6
299	6
300	6
301	6
302	6
303	6
304	6
305	6
306	6
307	6
308	6
309	6
310	6
311	6
312	6
313	6
314	6
315	6
316	6
317	6
318	6
319	6
320	6
321	6
322	6
323	6
324	6
325	6
326	6
327	6
328	6
329	6
330	6
331	6
332	6
333	6
334	6
335	6
336	6
337	6
338	6
339	6
340	6
341	5
342	5
343	5
344	5
345	5
346	5
347	5
348	5
349	5
350	5
351	5
352	5
353	5
354	5
355	5
356	5
357	5
358	5
359	5
360	5
361	5
362	5
363	5
364	5
365	5
366	5
367	5
368	5
369	5
370	5
371	5
372	5
373	5
374	5
375	5
376	5
377	5
378	5
379	5
380	5
381	5
382	5
383	5
384	5
385	5
386	5
387	6
388	6
389	6
390	6
391	6
392	6
393	6
394	6
395	6
396	6
397	6
398	6
399	6
400	6
401	6
402	6
403	6
404	6
405	6
406	6
407	6
408	6
409	6
410	6
411	6
412	6
413	6
414	6
415	6
416	6
417	6
418	6
419	6
420	6
421	6
422	6
423	6
424	6
425	6
426	6
427	6
428	6
429	6
430	6
431	6
432	6
433	6
434	6
435	6
436	6
437	6
438	6
439	6
440	6
441	6
442	6
443	6
444	6
445	6
446	6
447	6
448	6
449	6
450	6
451	6
452	6
453	6
454	6
455	6
456	6
457	6
458	6
459	6
460	6
461	6
462	6
463	6
464	6
465	6
466	6
467	6
468	6
469	6
470	6
471	7
472	7
473	7
474	7
475	7
476	7
477	7
478	8
479	8
480	8
481	8
482	8
483	8
484	8
485	8
486	8
487	8
488	8
489	8
490	8
491	8
492	8
493	8
494	8
495	8
496	8
497	8
498	8
499	8
500	8
501	8
502	8
503	8
504	8
505	8
506	8
507	8
508	8
509	8
510	8
511	8
512	8
513	9
514	9
515	9
516	9
517	9
518	9
519	9
520	9
521	9
522	9
523	9
524	9
525	9
526	8
527	8
528	8
529	8
530	8
531	8
532	8
533	8
534	8
535	8
536	8
537	8
538	8
539	8
540	8
541	8
542	8
543	8
544	8
545	8
546	8
547	8
548	8
549	8
550	8
551	8
552	8
553	8
554	8
555	8
556	8
557	8
558	8
559	8
560	8
561	8
562	8
563	8
564	8
565	8
566	8
567	8
568	8
569	8
570	8
571	8
572	8
573	8
574	8
575	8
576	8
577	8
578	8
579	8
580	8
581	8
582	8
583	8
584	8
585	8
586	8
587	8
588	8
589	8
590	8
591	8
592	8
593	8
594	8
595	8
596	8
597	8
598	8
599	8
600	8
601	8
602	7
603	7
604	7
605	7
606	7
607	7
608	7
609	7
610	7
611	7
612	7
613	7
614	7
615	7
616	7
617	7
618	6
619	6
620	5
621	5
622	5
623	5
624	5
625	5
626	5
627	5
628	5
629	5
630	5
631	5
632	5
633	5
634	5
635	5
636	5
637	5
638	5
639	5
640	6
641	7
642	7
643	7
644	6
645	6
646	6
647	6
648	6
649	6
650	7
651	7
652	7
653	7
654	7
655	7
656	7
657	7
658	7
659	7
660	7
661	7
662	7
663	7
664	7
665	7
666	7
667	7
668	7
669	7
670	7
671	7
672	7
673	7
674	7
675	7
676	7
677	7
678	7
679	7
680	7
681	7
682	7
683	7
684	7
685	7
686	7
687	7
688	7
689	7
690	7
691	7
692	7
693	7
694	7
695	7
696	7
697	7
698	7
699	7
700	7
701	7
702	7
703	7
704	7
705	7
706	7
707	7
708	7
709	6
710	6
711	6
712	4
713	4
714	4
715	4
716	4
717	4
718	4
719	4
720	4
721	4
722	4
723	4
724	4
725	4
726	4
727	4
728	4
729	4
730	4
731	4
732	4
733	4
734	4
735	4
736	4
737	4
738	4
739	4
740	4
741	4
742	4
743	4
744	4
745	4
746	4
747	4
748	4
749	4
750	4
751	4
752	4
753	4
754	4
755	4
756	4
757	4
758	4
759	4
760	4
761	4
762	4
763	4
764	4
765	4
766	4
767	4
768	4
769	4
770	4
771	4
772	4
773	4
774	4
775	4
776	4
777	4
778	4
779	4
780	4
781	4
782	4
783	3
784	3
785	3
786	3
787	3
788	3
789	3
790	3
791	3
792	3
793	3
794	3
795	3
796	3
797	3
798	3
799	3
800	3
801	2
802	2
803	2
804	2
805	2
806	2
807	2
808	2
809	2
810	2
811	2
812	2
813	2
814	2
815	2
816	2
817	2
818	2
819	2
820	2
821	2
822	2
823	2
824	2
825	2
826	2
827	2
828	2
829	2
830	2
831	2
832	2
833	2
834	2
835	2
836	2
837	2
838	2
839	2
840	2
841	2
842	2
843	2
844	2
845	2
846	2
847	2
848	2
849	2
850	2
851	2
852	2
853	2
854	2
855	2
856	2
857	2
858	2
859	2
860	2
861	2
862	2
863	2
864	2
865	2
866	2
867	2
868	2
869	2
870	2
871	2
872	2
873	2
874	2
875	2
876	2
877	2
878	2
879	2
880	2
881	2
882	2
883	2
884	2
885	2
886	2
887	2
888	2
889	2
890	2
891	2
892	2
893	2
894	2
895	2
896	2
897	3
898	3
899	3
900	3
901	3
902	3
903	3
904	3
905	3
906	3
907	3
908	3
909	3
910	3
911	3
912	3
913	3
914	3
915	3
916	3
917	3
918	3
919	3
920	3
921	3
922	3
923	3
924	3
925	3
926	3
927	3
928	3
929	3
930	3
931	3
932	3
933	3
934	3
935	3
936	3
937	3
938	3
939	3
940	3
941	3
942	3
943	3
944	3
945	3
946	3
947	3
948	3
949	3
950	3
951	3
952	3
953	3
954	3
955	3
956	3
957	3
958	3
959	3
960	3
961	3
962	3
963	3
964	2
965	2
966	2
967	2
968	2
969	2
970	2
971	2
972	2
973	2
974	2
975	2
976	2
977	2
978	2
979	2
980	2
981	2
982	2
983	2
984	2
985	2
986	2
987	2
988	2
989	2
990	2
991	2
992	3
993	3
994	3
995	3
996	3
997	3
998	3
999	4
1000	4
1001	5
1002	5
1003	5
1004	5
1005	5
1006	5
1007	5
1008	5
1009	5
1010	5
1011	5
1012	5
1013	5
1014	6
1015	6
1016	6
1017	6
1018	6
1019	6
1020	6
1021	6
1022	6
1023	6
1024	6
1025	6
1026	6
1027	6
1028	6
1029	6
1030	6
1031	6
1032	6
1033	6
1034	6
1035	6
1036	6
1037	6
1038	6
1039	6
1040	6
1041	6
1042	6
1043	6
1044	6
1045	6
1046	6
1047	6
1048	6
1049	6
1050	6
1051	6
1052	6
1053	5
1054	5
1055	5
1056	5
1057	5
1058	5
1059	5
1060	5
1061	5
1062	5
1063	5
1064	5
1065	5
1066	5
1067	5
1068	6
1069	6
1070	5
1071	5
1072	5
1073	5
1074	5
1075	5
1076	5
1077	5
1078	5
1079	5
1080	5
1081	5
1082	5
1083	5
1084	5
1085	5
1086	5
1087	5
1088	5
1089	5
1090	5
1091	5
1092	5
1093	5
1094	5
1095	5
1096	5
1097	5
1098	5
1099	5
1100	5
1101	5
1102	5
1103	5
1104	5
1105	5
1106	5
1107	5
1108	5
1109	5
1110	5
1111	5
1112	5
1113	5
1114	5
1115	5
1116	5
1117	5
1118	5
1119	5
1120	5
1121	5
1122	5
1123	5
1124	5
1125	4
1126	4
1127	4
1128	4
1129	4
1130	4
1131	4
1132	4
1133	4
1134	4
1135	4
1136	4
1137	4
1138	4
1139	4
1140	4
1141	4
1142	4
1143	4
1144	4
1145	4
1146	4
1147	4
1148	4
1149	4
1150	4
1151	4
1152	4
1153	4
1154	4
1155	4
1156	4
1157	4
1158	4
1159	4
1160	4
1161	4
1162	4
1163	4
1164	4
1165	4
1166	4
1167	3
1168	3
1169	3
1170	3
1171	3
1172	3
1173	3
1174	3
1175	3
1176	3
1177	3
1178	3
1179	3
1180	3
1181	3
1182	3
1183	3
1184	3
1185	3
1186	3
1187	3
1188	3
1189	3
1190	3
1191	3
1192	3
1193	3
1194	3
1195	3
1196	3
1197	3
1198	3
1199	3
1200	3
1201	3
1202	3
1203	3
1204	3
1205	3
1206	3
1207	3
1208	3
1209	3
1210	3
1211	3
1212	3
1213	3
1214	3
1215	3
1216	3
1217	3
1218	3
1219	3
1220	3
1221	3
1222	3
1223	3
1224	3
1225	3
1226	3
1227	3
1228	3
1229	3
1230	3
1231	3
1232	3
1233	3
1234	3
1235	3
1236	3
1237	3
1238	3
1239	4
1240	4
1241	4
1242	4
1243	4
1244	4
1245	4
1246	4
1247	4
1248	4
1249	4
1250	4
1251	4
1252	4
1253	4
1254	4
1255	4
1256	4
1257	4
1258	4
1259	4
1260	4
1261	4
1262	4
1263	4
1264	4
1265	4
1266	4
1267	4
1268	4
1269	4
1270	4
1271	4
1272	4
1273	4
1274	4
1275	4
1276	4
1277	5
1278	5
1279	5
1280	5
1281	5
1282	5
1283	5
1284	5
1285	5
1286	5
1287	5
1288	5
1289	5
1290	5
1291	5
1292	5
1293	5
1294	5
1295	5
1296	5
1297	5
1298	5
1299	5
1300	5
1301	5
1302	5
1303	5
1304	5
1305	5
1306	5
1307	5
1308	5
1309	5
1310	5
1311	5
1312	5
1313	5
1314	5
1315	5
1316	5
1317	5
1318	5
1319	5
1320	5
1321	5
1322	5
1323	5
1324	5
1325	5
1326	5
1327	5
1328	5
1329	5
1330	5
1331	5
1332	5
1333	5
1334	5
1335	5
1336	5
1337	5
1338	5
1339	5
1340	5
1341	5
1342	5
1343	5
1344	5
1345	5
1346	5
1347	5
1348	5
1349	5
1350	5
1351	5
1352	5
1353	5
1354	5
1355	5
1356	5
1357	5
1358	5
1359	5
1360	5
1361	5
1362	5
1363	5
1364	5
1365	5
1366	5
1367	5
1368	5
1369	5
1370	5
1371	5
1372	5
1373	5
1374	5
1375	5
1376	5
1377	5
1378	5
1379	5
1380	5
1381	5
1382	5
1383	5
1384	5
1385	5
1386	5
1387	5
1388	5
1389	5
1390	5
1391	5
1392	5
1393	5
1394	5
1395	5
1396	5
1397	5
1398	5
1399	5
1400	5
1401	5
1402	5
1403	5
1404	5
1405	5
1406	5
1407	5
1408	5
1409	5
1410	5
1411	5
1412	5
1413	5
1414	5
1415	5
1416	5
1417	5
1418	5
1419	5
1420	5
1421	6
1422	6
1423	6
1424	6
1425	6
1426	6
1427	6
1428	6
1429	6
1430	6
1431	6
1432	6
1433	6
1434	6
1435	6
1436	6
1437	6
1438	6
1439	6
1440	6
1441	6
1442	6
1443	6
1444	6
1445	6
1446	6
1447	6
1448	6
1449	6
1450	6
1451	6
1452	6
1453	6
1454	6
1455	6
1456	6
1457	6
1458	6
1459	6
1460	6
1461	6
1462	6
1463	6
1464	6
1465	6
1466	6
1467	6
1468	6
1469	6
1470	5
1471	5
1472	5
1473	5
1474	5
1475	5
1476	5
1477	5
1478	5
1479	5
1480	5
1481	5
1482	5
1483	5
1484	5
1485	5
1486	5
1487	5
1488	5
1489	5
1490	5
1491	5
1492	5
1493	5
1494	5
1495	5
1496	5
1497	5
1498	5
1499	5
1500	5
1501	5
1502	5
1503	5
1504	5
1505	5
1506	5
1507	5
1508	5
1509	5
1510	5
1511	5
1512	5
1513	5
1514	5
1515	5
1516	5
1517	5
1518	5
1519	5
1520	5
1521	5
1522	5
1523	5
1524	5
1525	5
1526	5
1527	5
1528	5
1529	5
1530	5
1531	5
1532	5
1533	5
1534	5
1535	5
1536	5
1537	5
1538	5
1539	5
1540	5
1541	5
1542	5
1543	5
1544	5
1545	5
1546	5
1547	5
1548	5
1549	5
1550	5
1551	5
1552	5
1553	5
1554	5
1555	5
1556	5
1557	5
1558	5
1559	5
1560	5
1561	5
1562	5
1563	5
1564	5
1565	5
1566	5
1567	5
1568	5
1569	5
1570	5
1571	5
1572	5
1573	5
1574	5
1575	5
1576	5
1577	5
1578	5
1579	5
1580	5
1581	5
1582	5
1583	5
1584	5
1585	5
1586	5
1587	5
1588	5
1589	5
1590	5
1591	5
1592	5
1593	5
1594	5
1595	5
1596	5
1597	5
1598	5
1599	5
1600	5
1601	5
1602	5
1603	5
1604	5
1605	5
1606	5
1607	5
1608	5
1609	5
1610	5
1611	5
1612	5
1613	5
1614	5
1615	5
1616	5
1617	5
1618	5
1619	5
1620	5
1621	5
1622	4
1623	4
1624	4
1625	4
1626	4
1627	4
1628	4
1629	4
1630	4
1631	4
1632	4
1633	4
1634	4
1635	4
1636	4
1637	4
1638	4
1639	4
1640	5
1641	5
1642	5
1643	5
1644	5
1645	5
1646	5
1647	5
1648	5
1649	5
1650	5
1651	5
1652	5
1653	5
1654	5
1655	5
1656	5
1657	5
1658	6
1659	6
1660	6
1661	6
1662	6
1663	6
1664	6
1665	6
1666	6
1667	6
1668	6
1669	6
1670	6
1671	6
1672	6
1673	6
1674	5
1675	5
1676	5
1677	5
1678	5
1679	5
1680	5
1681	5
1682	5
1683	5
1684	5
1685	5
1686	5
1687	5
1688	5
1689	5
1690	5
1691	5
1692	5
1693	5
1694	5
1695	5
1696	5
1697	5
1698	5
1699	5
1700	5
1701	6
1702	6
1703	6
1704	6
1705	6
1706	6
1707	6
1708	6
1709	6
1710	6
1711	6
1712	6
1713	6
1714	6
1715	6
1716	6
1717	6
1718	6
1719	6
1720	6
1721	6
1722	6
1723	6
1724	6
1725	6
1726	6
1727	6
1728	6
1729	6
1730	6
1731	6
1732	6
1733	6
