mito	coverage
1	0
2	6
3	6
4	7
5	8
6	8
7	8
8	9
9	9
10	9
11	9
12	9
13	9
14	9
15	9
16	9
17	9
18	9
19	9
20	9
21	9
22	9
23	9
24	9
25	9
26	9
27	9
28	9
29	9
30	9
31	9
32	9
33	9
34	9
35	9
36	9
37	9
38	9
39	9
40	9
41	9
42	9
43	9
44	9
45	9
46	9
47	9
48	9
49	9
50	9
51	9
52	9
53	9
54	9
55	9
56	9
57	9
58	9
59	9
60	9
61	9
62	9
63	9
64	9
65	9
66	10
67	10
68	10
69	10
70	10
71	10
72	10
73	10
74	10
75	10
76	10
77	10
78	10
79	10
80	10
81	9
82	9
83	9
84	9
85	9
86	9
87	9
88	9
89	9
90	9
91	9
92	9
93	9
94	9
95	9
96	9
97	9
98	9
99	9
100	9
101	9
102	9
103	9
104	9
105	9
106	9
107	9
108	9
109	10
110	10
111	10
112	10
113	10
114	10
115	10
116	10
117	10
118	10
119	10
120	10
121	10
122	10
123	10
124	10
125	10
126	10
127	10
128	10
129	9
130	9
131	9
132	9
133	9
134	9
135	9
136	9
137	9
138	9
139	9
140	9
141	9
142	9
143	9
144	9
145	9
146	9
147	9
148	9
149	9
150	9
151	9
152	9
153	9
154	9
155	9
156	9
157	9
158	9
159	9
160	9
161	9
162	9
163	9
164	9
165	9
166	9
167	9
168	9
169	9
170	9
171	9
172	9
173	9
174	9
175	9
176	9
177	9
178	9
179	9
180	9
181	9
182	9
183	9
184	9
185	9
186	9
187	9
188	9
189	9
190	9
191	7
192	7
193	7
194	7
195	7
196	7
197	7
198	7
199	7
200	7
201	7
202	7
203	7
204	7
205	7
206	7
207	7
208	7
209	7
210	7
211	7
212	7
213	7
214	7
215	7
216	7
217	7
218	8
219	8
220	8
221	8
222	8
223	8
224	8
225	8
226	8
227	8
228	8
229	8
230	8
231	8
232	8
233	7
234	7
235	7
236	7
237	7
238	7
239	7
240	7
241	7
242	7
243	7
244	7
245	7
246	6
247	6
248	6
249	6
250	6
251	6
252	6
253	6
254	6
255	6
256	6
257	6
258	6
259	6
260	6
261	6
262	6
263	6
264	6
265	6
266	6
267	6
268	6
269	6
270	6
271	6
272	6
273	6
274	6
275	6
276	6
277	6
278	6
279	6
280	6
281	6
282	6
283	6
284	6
285	6
286	6
287	6
288	6
289	6
290	6
291	6
292	6
293	6
294	6
295	6
296	6
297	6
298	6
299	6
300	6
301	6
302	6
303	6
304	6
305	6
306	6
307	6
308	6
309	6
310	6
311	6
312	6
313	6
314	6
315	6
316	6
317	6
318	6
319	6
320	6
321	6
322	6
323	6
324	6
325	6
326	5
327	5
328	5
329	5
330	5
331	5
332	5
333	5
334	5
335	5
336	6
337	6
338	6
339	6
340	6
341	6
342	6
343	6
344	6
345	6
346	6
347	6
348	6
349	6
350	6
351	6
352	6
353	6
354	6
355	5
356	5
357	5
358	5
359	5
360	5
361	5
362	5
363	5
364	5
365	5
366	5
367	5
368	5
369	5
370	5
371	5
372	5
373	5
374	5
375	5
376	5
377	5
378	5
379	5
380	5
381	5
382	5
383	5
384	5
385	5
386	5
387	5
388	5
389	5
390	5
391	5
392	5
393	5
394	5
395	5
396	5
397	5
398	5
399	5
400	5
401	5
402	5
403	5
404	5
405	5
406	6
407	6
408	6
409	6
410	6
411	6
412	6
413	6
414	6
415	6
416	6
417	6
418	6
419	6
420	6
421	6
422	6
423	6
424	6
425	6
426	6
427	6
428	6
429	6
430	6
431	6
432	6
433	6
434	6
435	6
436	6
437	6
438	6
439	6
440	6
441	6
442	6
443	6
444	6
445	6
446	6
447	6
448	6
449	6
450	6
451	6
452	6
453	6
454	6
455	6
456	6
457	6
458	6
459	6
460	6
461	6
462	6
463	6
464	6
465	6
466	6
467	6
468	6
469	6
470	6
471	6
472	6
473	6
474	6
475	6
476	6
477	6
478	6
479	6
480	6
481	6
482	6
483	7
484	7
485	7
486	7
487	7
488	7
489	7
490	7
491	7
492	7
493	7
494	7
495	7
496	7
497	7
498	7
499	7
500	7
501	7
502	7
503	7
504	7
505	8
506	8
507	8
508	8
509	8
510	8
511	8
512	8
513	8
514	8
515	8
516	8
517	8
518	8
519	8
520	9
521	9
522	9
523	9
524	9
525	9
526	9
527	9
528	9
529	9
530	9
531	9
532	9
533	9
534	9
535	9
536	9
537	9
538	9
539	9
540	9
541	9
542	9
543	9
544	9
545	9
546	9
547	9
548	9
549	9
550	9
551	9
552	9
553	9
554	9
555	9
556	9
557	9
558	8
559	8
560	8
561	8
562	8
563	8
564	8
565	8
566	8
567	8
568	8
569	8
570	8
571	8
572	8
573	8
574	8
575	8
576	8
577	8
578	8
579	8
580	7
581	7
582	7
583	7
584	7
585	7
586	7
587	7
588	7
589	7
590	7
591	7
592	7
593	7
594	7
595	7
596	7
597	7
598	7
599	7
600	7
601	7
602	7
603	7
604	7
605	7
