mito	coverage
1	0
2	10
3	10
4	10
5	10
6	10
7	10
8	10
9	10
10	10
11	10
12	10
13	10
14	10
15	10
16	10
17	11
18	11
19	11
20	11
21	11
22	11
23	11
24	11
25	11
26	11
27	11
28	11
29	11
30	11
31	11
32	11
33	11
34	11
35	11
36	11
37	13
38	13
39	13
40	13
41	13
42	14
43	14
44	14
45	14
46	14
47	14
48	14
49	14
50	14
51	14
52	12
53	12
54	12
55	12
56	12
57	12
58	12
59	11
60	11
61	11
62	11
63	11
64	11
65	11
66	11
67	11
68	11
69	11
70	11
71	11
72	12
73	12
74	12
75	12
76	12
77	12
78	12
79	12
80	12
81	12
82	12
83	12
84	12
85	12
86	12
87	12
88	12
89	12
90	12
91	12
92	12
93	12
94	12
95	12
96	12
97	12
98	12
99	12
100	12
101	12
102	12
103	12
104	12
105	12
106	12
107	12
108	12
109	10
110	10
111	10
112	10
113	10
114	10
115	10
116	10
117	10
118	10
119	10
120	10
121	10
122	10
123	10
124	10
125	9
126	9
127	9
128	9
129	9
130	9
131	9
132	9
133	9
134	9
135	9
136	9
137	9
138	9
139	9
140	9
141	9
142	9
143	9
144	9
145	9
146	9
147	9
148	9
149	9
150	9
151	9
152	9
153	8
154	8
155	8
156	8
157	8
158	7
159	7
160	8
161	8
162	8
163	8
164	8
165	8
166	8
167	8
168	8
169	9
170	9
171	9
172	9
173	9
174	9
175	9
176	9
177	9
178	9
179	9
180	9
181	9
182	9
183	9
184	9
185	9
186	9
187	9
188	9
189	9
190	9
191	9
192	9
193	9
194	9
195	9
196	9
197	9
198	9
199	9
200	9
201	9
202	9
203	9
204	9
205	9
206	9
207	9
208	9
209	9
210	9
211	9
212	9
213	9
214	9
215	9
216	9
217	9
218	9
219	9
220	9
221	9
222	9
223	9
224	9
225	9
226	9
227	9
228	9
229	9
230	9
231	9
232	9
233	9
234	9
235	9
236	9
237	9
238	9
239	10
240	10
241	10
242	10
243	10
244	10
245	10
246	10
247	10
248	10
249	10
250	10
251	10
252	10
253	10
254	10
255	10
256	10
257	10
258	10
259	10
260	10
261	10
262	10
263	10
264	10
265	10
266	10
267	10
268	10
269	10
270	10
271	10
272	10
273	11
274	11
275	11
276	11
277	11
278	11
279	11
280	11
281	11
282	11
283	11
284	11
285	11
286	11
287	11
288	11
289	11
290	11
291	11
292	11
293	11
294	11
295	11
296	11
297	12
298	12
299	12
300	12
301	12
302	12
303	12
304	12
305	12
306	12
307	13
308	13
309	13
310	13
311	13
312	13
313	13
314	13
315	13
316	13
317	13
318	13
319	13
320	13
321	13
322	13
323	13
324	13
325	13
326	12
327	12
328	12
329	12
330	12
331	12
332	12
333	12
334	12
335	12
336	12
337	12
338	12
339	12
340	12
341	12
342	12
343	12
344	12
345	12
346	12
347	12
348	12
349	12
350	12
351	12
352	12
353	12
354	12
355	12
356	11
357	11
358	11
359	11
360	11
361	11
362	11
363	11
364	11
365	11
366	11
367	11
368	11
369	11
370	11
371	11
372	11
373	10
374	11
375	11
376	11
377	11
378	11
379	11
380	11
381	11
382	11
383	11
384	11
385	11
386	11
387	11
388	11
389	11
390	11
391	11
392	11
393	11
394	11
395	11
396	11
397	11
398	12
399	12
400	12
401	12
402	12
403	12
404	12
405	12
406	12
407	12
408	12
409	12
410	12
411	12
412	12
413	12
414	12
415	12
416	12
417	12
418	12
419	12
420	12
421	12
422	12
423	12
424	12
425	12
426	12
427	12
428	12
429	12
430	12
431	12
432	12
433	12
434	12
435	12
436	12
437	12
438	12
439	12
440	12
441	12
442	12
443	12
444	12
445	12
446	12
447	12
448	12
449	12
450	12
451	13
452	13
453	13
454	13
455	13
456	13
457	13
458	13
459	12
460	12
461	12
462	12
463	12
464	12
465	12
466	12
467	12
468	12
469	12
470	12
471	12
472	12
473	12
474	12
475	12
476	12
477	12
478	12
479	12
480	12
481	12
482	12
483	12
484	12
485	12
486	12
487	11
488	11
489	11
490	11
491	11
492	10
493	10
494	10
495	10
496	9
497	9
498	9
499	9
500	10
501	10
502	10
503	10
504	10
505	10
506	10
507	10
508	10
509	10
510	10
511	10
512	10
513	10
514	10
515	10
516	10
517	10
518	10
519	10
520	10
521	10
522	10
523	10
524	10
525	10
526	10
527	10
528	10
529	10
530	10
531	10
532	10
533	10
534	10
535	10
536	9
537	9
538	9
539	9
540	9
541	9
542	9
543	9
544	9
545	9
546	9
547	9
548	9
549	9
550	9
551	9
552	9
553	9
554	9
555	9
556	9
557	9
558	9
559	9
560	9
561	10
562	11
563	11
564	11
565	11
566	11
567	10
568	11
569	11
570	11
571	11
572	11
573	11
574	11
575	11
576	11
577	11
578	11
579	11
580	11
581	11
582	11
583	11
584	11
585	11
586	11
587	11
588	11
589	11
590	11
591	11
592	11
593	11
594	11
595	11
596	11
597	11
598	11
599	11
600	11
601	10
602	9
603	9
604	8
605	8
606	8
607	8
608	8
609	8
610	8
611	8
612	8
613	8
614	8
615	8
616	8
617	8
618	8
619	8
620	8
621	8
622	8
623	8
624	8
625	8
626	8
627	8
628	8
629	8
630	8
631	8
632	8
633	8
634	8
635	8
636	8
637	8
638	8
639	8
640	8
641	8
642	8
643	7
644	7
645	7
646	7
647	7
648	7
649	7
650	7
651	7
652	7
653	7
654	7
655	7
656	7
657	7
658	7
659	7
660	7
661	7
662	7
663	7
664	7
665	7
666	7
667	7
668	7
669	7
670	7
671	7
672	7
673	7
674	7
675	7
676	7
677	7
678	7
679	7
680	7
681	7
682	7
683	7
684	7
